block_id,condition,sequence_id,trial_index,task,soa_level,congruency,target_dir
cp_prp,A,5,0,mov,300,incongruent,left
cp_prp,A,5,1,mov,100,congruent,right
cp_prp,A,5,2,mov,300,incongruent,left
cp_prp,A,5,3,mov,300,incongruent,right
cp_prp,A,5,4,mov,300,congruent,left
cp_prp,A,5,5,mov,300,congruent,right
cp_prp,A,5,6,mov,600,congruent,left
cp_prp,A,5,7,mov,300,congruent,left
cp_prp,A,5,8,mov,100,congruent,left
cp_prp,A,5,9,mov,100,incongruent,right
cp_prp,A,5,10,mov,300,congruent,left
cp_prp,A,5,11,mov,100,incongruent,left
cp_prp,A,5,12,mov,600,congruent,right
cp_prp,A,5,13,mov,600,congruent,left
cp_prp,A,5,14,mov,600,congruent,right
cp_prp,A,5,15,mov,300,incongruent,right
cp_prp,A,5,16,mov,100,congruent,left
cp_prp,A,5,17,mov,300,congruent,left
cp_prp,A,5,18,mov,300,congruent,right
cp_prp,A,5,19,mov,100,congruent,right
cp_prp,A,5,20,mov,300,incongruent,left
cp_prp,A,5,21,mov,300,congruent,right
cp_prp,A,5,22,mov,600,congruent,right
cp_prp,A,5,23,mov,100,congruent,left
cp_prp,A,5,24,mov,600,congruent,right
cp_prp,A,5,25,mov,600,incongruent,left
cp_prp,A,5,26,mov,100,congruent,left
cp_prp,A,5,27,mov,100,congruent,right
cp_prp,A,5,28,mov,600,congruent,right
cp_prp,A,5,29,mov,600,congruent,left
cp_prp,A,5,30,mov,100,congruent,left
cp_prp,A,5,31,mov,100,incongruent,left
cp_prp,A,5,32,mov,600,congruent,right
cp_prp,A,5,33,mov,300,incongruent,right
cp_prp,A,5,34,mov,600,congruent,right
cp_prp,A,5,35,mov,100,incongruent,right
cp_prp,A,5,36,mov,300,congruent,right
cp_prp,A,5,37,mov,300,incongruent,left
cp_prp,A,5,38,mov,600,incongruent,right
cp_prp,A,5,39,mov,100,incongruent,left
cp_prp,A,5,40,mov,600,incongruent,right
cp_prp,A,5,41,mov,600,incongruent,right
cp_prp,A,5,42,mov,600,incongruent,right
cp_prp,A,5,43,mov,300,incongruent,right
cp_prp,A,5,44,mov,100,incongruent,right
cp_prp,A,5,45,mov,600,congruent,left
cp_prp,A,5,46,mov,600,congruent,left
cp_prp,A,5,47,mov,100,incongruent,left
cp_prp,A,5,48,mov,300,congruent,right
cp_prp,A,5,49,mov,100,incongruent,right
cp_prp,A,5,50,mov,600,incongruent,right
cp_prp,A,5,51,mov,100,incongruent,left
cp_prp,A,5,52,mov,300,congruent,right
cp_prp,A,5,53,mov,600,incongruent,right
cp_prp,A,5,54,mov,300,congruent,right
cp_prp,A,5,55,mov,600,incongruent,left
cp_prp,A,5,56,mov,300,incongruent,right
cp_prp,A,5,57,mov,300,congruent,left
cp_prp,A,5,58,mov,600,incongruent,left
cp_prp,A,5,59,mov,300,incongruent,right
cp_prp,A,5,60,mov,100,incongruent,right
cp_prp,A,5,61,mov,600,congruent,left
cp_prp,A,5,62,mov,300,congruent,right
cp_prp,A,5,63,mov,100,incongruent,left
cp_prp,A,5,64,mov,600,congruent,right
cp_prp,A,5,65,mov,300,incongruent,right
cp_prp,A,5,66,mov,600,incongruent,left
cp_prp,A,5,67,mov,100,incongruent,left
cp_prp,A,5,68,mov,100,incongruent,right
cp_prp,A,5,69,mov,300,incongruent,right
cp_prp,A,5,70,mov,300,incongruent,left
cp_prp,A,5,71,mov,300,congruent,left
cp_prp,A,5,72,mov,300,incongruent,left
cp_prp,A,5,73,mov,100,incongruent,right
cp_prp,A,5,74,mov,300,congruent,left
cp_prp,A,5,75,mov,300,congruent,left
cp_prp,A,5,76,mov,300,incongruent,left
cp_prp,A,5,77,mov,600,incongruent,right
cp_prp,A,5,78,mov,600,congruent,left
cp_prp,A,5,79,mov,100,incongruent,left
cp_prp,A,5,80,mov,600,incongruent,left
cp_prp,A,5,81,mov,600,incongruent,left
cp_prp,A,5,82,mov,600,incongruent,right
cp_prp,A,5,83,mov,100,congruent,right
cp_prp,A,5,84,mov,100,congruent,left
cp_prp,A,5,85,mov,600,incongruent,left
cp_prp,A,5,86,mov,100,congruent,left
cp_prp,A,5,87,mov,100,congruent,right
cp_prp,A,5,88,mov,100,congruent,right
cp_prp,A,5,89,mov,100,congruent,left
cp_prp,A,5,90,mov,600,incongruent,left
cp_prp,A,5,91,mov,100,congruent,right
cp_prp,A,5,92,mov,100,incongruent,right
cp_prp,A,5,93,mov,300,incongruent,left
cp_prp,A,5,94,mov,600,congruent,left
cp_prp,A,5,95,mov,100,congruent,right
