block_id,condition,trial_index,task,soa_level,congruency,target_dir
cp_prp,B,0,mov,600,incongruent,right
cp_prp,B,1,or,600,incongruent,right
cp_prp,B,2,or,100,congruent,right
cp_prp,B,3,mov,300,incongruent,left
cp_prp,B,4,mov,100,congruent,right
cp_prp,B,5,or,600,incongruent,right
cp_prp,B,6,or,300,congruent,left
cp_prp,B,7,mov,300,congruent,left
cp_prp,B,8,mov,600,congruent,right
cp_prp,B,9,mov,300,incongruent,right
cp_prp,B,10,or,100,incongruent,left
cp_prp,B,11,or,300,incongruent,left
cp_prp,B,12,or,300,congruent,right
cp_prp,B,13,mov,600,congruent,left
cp_prp,B,14,mov,600,incongruent,left
cp_prp,B,15,or,300,congruent,left
cp_prp,B,16,mov,600,incongruent,left
cp_prp,B,17,or,100,congruent,left
cp_prp,B,18,or,100,congruent,right
cp_prp,B,19,or,100,congruent,right
cp_prp,B,20,mov,600,incongruent,right
cp_prp,B,21,or,600,congruent,right
cp_prp,B,22,mov,600,congruent,left
cp_prp,B,23,or,600,incongruent,left
cp_prp,B,24,or,100,congruent,left
cp_prp,B,25,mov,300,incongruent,right
cp_prp,B,26,mov,100,congruent,left
cp_prp,B,27,or,300,congruent,right
cp_prp,B,28,mov,100,incongruent,left
cp_prp,B,29,mov,300,congruent,right
cp_prp,B,30,or,100,incongruent,right
cp_prp,B,31,mov,600,incongruent,right
cp_prp,B,32,or,600,incongruent,left
cp_prp,B,33,mov,300,congruent,left
cp_prp,B,34,mov,300,congruent,right
cp_prp,B,35,or,600,incongruent,right
cp_prp,B,36,or,300,incongruent,left
cp_prp,B,37,or,600,congruent,right
cp_prp,B,38,mov,600,congruent,left
cp_prp,B,39,mov,300,incongruent,right
cp_prp,B,40,mov,100,congruent,left
cp_prp,B,41,or,300,incongruent,right
cp_prp,B,42,or,600,incongruent,right
cp_prp,B,43,mov,100,incongruent,right
cp_prp,B,44,or,600,incongruent,left
cp_prp,B,45,mov,600,congruent,left
cp_prp,B,46,or,100,incongruent,right
cp_prp,B,47,mov,100,incongruent,right
cp_prp,B,48,or,600,congruent,left
cp_prp,B,49,or,100,congruent,left
cp_prp,B,50,mov,300,incongruent,left
cp_prp,B,51,or,300,incongruent,left
cp_prp,B,52,mov,100,congruent,right
cp_prp,B,53,mov,300,incongruent,left
cp_prp,B,54,or,300,incongruent,right
cp_prp,B,55,mov,300,congruent,left
cp_prp,B,56,or,600,incongruent,left
cp_prp,B,57,or,100,incongruent,left
cp_prp,B,58,or,300,congruent,left
cp_prp,B,59,mov,600,congruent,right
cp_prp,B,60,mov,100,incongruent,left
cp_prp,B,61,or,600,congruent,right
cp_prp,B,62,or,100,incongruent,right
cp_prp,B,63,mov,600,congruent,right
cp_prp,B,64,mov,600,incongruent,right
cp_prp,B,65,or,600,congruent,right
cp_prp,B,66,mov,300,incongruent,left
cp_prp,B,67,or,300,incongruent,left
cp_prp,B,68,mov,100,congruent,right
cp_prp,B,69,mov,600,congruent,right
cp_prp,B,70,or,100,congruent,right
cp_prp,B,71,or,600,congruent,left
cp_prp,B,72,mov,100,congruent,left
cp_prp,B,73,or,100,incongruent,left
cp_prp,B,74,or,300,congruent,left
cp_prp,B,75,mov,300,incongruent,right
cp_prp,B,76,or,100,congruent,left
cp_prp,B,77,or,300,incongruent,right
cp_prp,B,78,mov,600,incongruent,left
cp_prp,B,79,mov,600,incongruent,left
cp_prp,B,80,or,600,congruent,left
cp_prp,B,81,mov,100,congruent,left
cp_prp,B,82,mov,300,congruent,left
cp_prp,B,83,or,100,incongruent,left
cp_prp,B,84,mov,100,congruent,right
cp_prp,B,85,mov,100,incongruent,left
cp_prp,B,86,or,300,incongruent,right
cp_prp,B,87,or,600,congruent,left
cp_prp,B,88,or,300,congruent,right
cp_prp,B,89,mov,300,congruent,right
cp_prp,B,90,or,300,congruent,right
cp_prp,B,91,mov,100,incongruent,right
cp_prp,B,92,mov,100,incongruent,left
cp_prp,B,93,mov,300,congruent,right
cp_prp,B,94,or,100,incongruent,right
cp_prp,B,95,mov,100,incongruent,right
