block_id,condition,sequence_id,trial_index,task,soa_level,congruency,target_dir
cp_prp,B,39,0,or,100,congruent,left
cp_prp,B,39,1,or,300,incongruent,right
cp_prp,B,39,2,or,100,incongruent,left
cp_prp,B,39,3,or,100,incongruent,right
cp_prp,B,39,4,or,600,congruent,left
cp_prp,B,39,5,or,300,congruent,right
cp_prp,B,39,6,or,100,congruent,right
cp_prp,B,39,7,or,300,incongruent,left
cp_prp,B,39,8,or,300,congruent,left
cp_prp,B,39,9,or,100,congruent,left
cp_prp,B,39,10,or,600,incongruent,right
cp_prp,B,39,11,or,100,incongruent,right
cp_prp,B,39,12,or,100,incongruent,left
cp_prp,B,39,13,or,300,incongruent,left
cp_prp,B,39,14,or,300,congruent,right
cp_prp,B,39,15,or,600,congruent,right
cp_prp,B,39,16,or,100,congruent,left
cp_prp,B,39,17,or,600,incongruent,left
cp_prp,B,39,18,or,300,incongruent,right
cp_prp,B,39,19,or,600,incongruent,left
cp_prp,B,39,20,or,600,congruent,left
cp_prp,B,39,21,or,300,incongruent,right
cp_prp,B,39,22,or,300,incongruent,left
cp_prp,B,39,23,or,600,congruent,left
cp_prp,B,39,24,or,300,congruent,left
cp_prp,B,39,25,or,600,incongruent,right
cp_prp,B,39,26,or,100,incongruent,left
cp_prp,B,39,27,or,100,incongruent,right
cp_prp,B,39,28,or,300,congruent,right
cp_prp,B,39,29,or,100,congruent,right
cp_prp,B,39,30,or,100,congruent,left
cp_prp,B,39,31,or,300,incongruent,right
cp_prp,B,39,32,or,300,incongruent,right
cp_prp,B,39,33,or,100,incongruent,left
cp_prp,B,39,34,or,100,congruent,right
cp_prp,B,39,35,or,100,incongruent,right
cp_prp,B,39,36,or,600,congruent,left
cp_prp,B,39,37,or,300,congruent,right
cp_prp,B,39,38,or,100,congruent,right
cp_prp,B,39,39,or,300,incongruent,left
cp_prp,B,39,40,or,300,congruent,left
cp_prp,B,39,41,or,600,incongruent,left
cp_prp,B,39,42,or,600,incongruent,right
cp_prp,B,39,43,or,300,congruent,right
cp_prp,B,39,44,or,100,incongruent,left
cp_prp,B,39,45,or,100,congruent,right
cp_prp,B,39,46,or,300,congruent,right
cp_prp,B,39,47,or,300,congruent,left
cp_prp,B,39,48,or,100,congruent,left
cp_prp,B,39,49,or,300,incongruent,right
cp_prp,B,39,50,or,600,incongruent,right
cp_prp,B,39,51,or,100,congruent,left
cp_prp,B,39,52,or,100,congruent,right
cp_prp,B,39,53,or,300,congruent,right
cp_prp,B,39,54,or,300,incongruent,left
cp_prp,B,39,55,or,300,incongruent,left
cp_prp,B,39,56,or,300,congruent,left
cp_prp,B,39,57,or,600,incongruent,left
cp_prp,B,39,58,or,600,incongruent,right
cp_prp,B,39,59,or,100,incongruent,right
cp_prp,B,39,60,or,600,incongruent,left
cp_prp,B,39,61,or,300,congruent,left
cp_prp,B,39,62,or,600,incongruent,right
cp_prp,B,39,63,or,600,congruent,right
cp_prp,B,39,64,or,300,incongruent,right
cp_prp,B,39,65,or,100,congruent,right
cp_prp,B,39,66,or,600,incongruent,left
cp_prp,B,39,67,or,100,incongruent,right
cp_prp,B,39,68,or,600,congruent,left
cp_prp,B,39,69,or,300,congruent,right
cp_prp,B,39,70,or,600,incongruent,left
cp_prp,B,39,71,or,300,incongruent,left
cp_prp,B,39,72,or,600,congruent,right
cp_prp,B,39,73,or,100,incongruent,left
cp_prp,B,39,74,or,600,congruent,right
cp_prp,B,39,75,or,100,incongruent,right
cp_prp,B,39,76,or,300,incongruent,left
cp_prp,B,39,77,or,100,congruent,right
cp_prp,B,39,78,or,300,congruent,left
cp_prp,B,39,79,or,600,congruent,right
cp_prp,B,39,80,or,100,congruent,left
cp_prp,B,39,81,or,600,congruent,left
cp_prp,B,39,82,or,100,incongruent,left
cp_prp,B,39,83,or,100,incongruent,right
cp_prp,B,39,84,or,600,congruent,right
cp_prp,B,39,85,or,600,congruent,right
cp_prp,B,39,86,or,600,incongruent,right
cp_prp,B,39,87,or,600,congruent,left
cp_prp,B,39,88,or,100,incongruent,left
cp_prp,B,39,89,or,100,congruent,left
cp_prp,B,39,90,or,600,incongruent,right
cp_prp,B,39,91,or,600,congruent,left
cp_prp,B,39,92,or,600,incongruent,left
cp_prp,B,39,93,or,300,congruent,left
cp_prp,B,39,94,or,300,incongruent,right
cp_prp,B,39,95,or,600,congruent,right
