block_id,condition,trial_index,task,congruency,target_dir,response_transition
cp_stroop,B,0,or,congruent,right,First
cp_stroop,B,1,or,incongruent,right,Repeat
cp_stroop,B,2,or,congruent,right,Repeat
cp_stroop,B,3,or,incongruent,left,Switch
cp_stroop,B,4,or,congruent,left,Repeat
cp_stroop,B,5,or,congruent,left,Repeat
cp_stroop,B,6,or,incongruent,left,Repeat
cp_stroop,B,7,or,incongruent,right,Switch
cp_stroop,B,8,or,incongruent,right,Repeat
cp_stroop,B,9,or,congruent,left,Switch
cp_stroop,B,10,or,congruent,left,Repeat
cp_stroop,B,11,or,congruent,left,Repeat
cp_stroop,B,12,or,congruent,left,Repeat
cp_stroop,B,13,or,congruent,right,Switch
cp_stroop,B,14,or,incongruent,right,Repeat
cp_stroop,B,15,or,congruent,left,Switch
cp_stroop,B,16,or,incongruent,right,Switch
cp_stroop,B,17,or,congruent,left,Switch
cp_stroop,B,18,or,congruent,left,Repeat
cp_stroop,B,19,or,incongruent,left,Repeat
cp_stroop,B,20,or,incongruent,left,Repeat
cp_stroop,B,21,or,congruent,right,Switch
cp_stroop,B,22,or,incongruent,left,Switch
cp_stroop,B,23,or,incongruent,left,Repeat
cp_stroop,B,24,or,incongruent,left,Repeat
cp_stroop,B,25,or,congruent,left,Repeat
cp_stroop,B,26,or,congruent,right,Switch
cp_stroop,B,27,or,incongruent,left,Switch
cp_stroop,B,28,or,congruent,right,Switch
cp_stroop,B,29,or,incongruent,right,Repeat
cp_stroop,B,30,or,incongruent,left,Switch
cp_stroop,B,31,or,congruent,right,Switch
cp_stroop,B,32,or,congruent,right,Repeat
cp_stroop,B,33,or,congruent,left,Switch
cp_stroop,B,34,or,incongruent,left,Repeat
cp_stroop,B,35,or,congruent,right,Switch
cp_stroop,B,36,or,incongruent,left,Switch
cp_stroop,B,37,or,incongruent,right,Switch
cp_stroop,B,38,or,congruent,right,Repeat
cp_stroop,B,39,or,congruent,right,Repeat
cp_stroop,B,40,or,congruent,right,Repeat
cp_stroop,B,41,or,incongruent,left,Switch
cp_stroop,B,42,or,congruent,right,Switch
cp_stroop,B,43,or,incongruent,right,Repeat
cp_stroop,B,44,or,incongruent,left,Switch
cp_stroop,B,45,or,congruent,right,Switch
cp_stroop,B,46,or,congruent,right,Repeat
cp_stroop,B,47,or,congruent,left,Switch
cp_stroop,B,48,or,congruent,right,Switch
cp_stroop,B,49,or,congruent,right,Repeat
cp_stroop,B,50,or,congruent,left,Switch
cp_stroop,B,51,or,incongruent,right,Switch
cp_stroop,B,52,or,incongruent,right,Repeat
cp_stroop,B,53,or,congruent,right,Repeat
cp_stroop,B,54,or,incongruent,left,Switch
cp_stroop,B,55,or,congruent,right,Switch
cp_stroop,B,56,or,congruent,right,Repeat
cp_stroop,B,57,or,incongruent,left,Switch
cp_stroop,B,58,or,congruent,left,Repeat
cp_stroop,B,59,or,incongruent,right,Switch
cp_stroop,B,60,or,congruent,left,Switch
cp_stroop,B,61,or,congruent,left,Repeat
cp_stroop,B,62,or,congruent,left,Repeat
cp_stroop,B,63,or,incongruent,right,Switch
cp_stroop,B,64,or,incongruent,left,Switch
cp_stroop,B,65,or,congruent,left,Repeat
cp_stroop,B,66,or,congruent,right,Switch
cp_stroop,B,67,or,incongruent,left,Switch
cp_stroop,B,68,or,incongruent,left,Repeat
cp_stroop,B,69,or,incongruent,right,Switch
cp_stroop,B,70,or,incongruent,right,Repeat
cp_stroop,B,71,or,incongruent,right,Repeat
cp_stroop,B,72,or,incongruent,left,Switch
cp_stroop,B,73,or,congruent,left,Repeat
cp_stroop,B,74,or,congruent,right,Switch
cp_stroop,B,75,or,incongruent,right,Repeat
cp_stroop,B,76,or,incongruent,right,Repeat
cp_stroop,B,77,or,congruent,left,Switch
cp_stroop,B,78,or,incongruent,right,Switch
cp_stroop,B,79,or,incongruent,right,Repeat
cp_stroop,B,80,or,incongruent,left,Switch
cp_stroop,B,81,or,congruent,left,Repeat
cp_stroop,B,82,or,congruent,left,Repeat
cp_stroop,B,83,or,incongruent,right,Switch
cp_stroop,B,84,or,incongruent,left,Switch
cp_stroop,B,85,or,congruent,left,Repeat
cp_stroop,B,86,or,incongruent,left,Repeat
cp_stroop,B,87,or,incongruent,right,Switch
cp_stroop,B,88,or,incongruent,left,Switch
cp_stroop,B,89,or,congruent,right,Switch
cp_stroop,B,90,or,congruent,right,Repeat
cp_stroop,B,91,or,incongruent,right,Repeat
cp_stroop,B,92,or,incongruent,right,Repeat
cp_stroop,B,93,or,congruent,left,Switch
cp_stroop,B,94,or,incongruent,left,Repeat
cp_stroop,B,95,or,incongruent,right,Switch
