block_id,condition,sequence_id,trial_index,task,congruency,target_dir,response_transition
cp_stroop,B,8,0,or,incongruent,right,First
cp_stroop,B,8,1,or,congruent,left,Switch
cp_stroop,B,8,2,or,congruent,left,Repeat
cp_stroop,B,8,3,or,congruent,left,Repeat
cp_stroop,B,8,4,or,incongruent,right,Switch
cp_stroop,B,8,5,or,incongruent,right,Repeat
cp_stroop,B,8,6,or,incongruent,left,Switch
cp_stroop,B,8,7,or,congruent,left,Repeat
cp_stroop,B,8,8,or,congruent,right,Switch
cp_stroop,B,8,9,or,congruent,left,Switch
cp_stroop,B,8,10,or,incongruent,left,Repeat
cp_stroop,B,8,11,or,incongruent,right,Switch
cp_stroop,B,8,12,or,congruent,left,Switch
cp_stroop,B,8,13,or,congruent,right,Switch
cp_stroop,B,8,14,or,incongruent,right,Repeat
cp_stroop,B,8,15,or,congruent,left,Switch
cp_stroop,B,8,16,or,congruent,right,Switch
cp_stroop,B,8,17,or,incongruent,right,Repeat
cp_stroop,B,8,18,or,congruent,right,Repeat
cp_stroop,B,8,19,or,congruent,left,Switch
cp_stroop,B,8,20,or,incongruent,right,Switch
cp_stroop,B,8,21,or,congruent,right,Repeat
cp_stroop,B,8,22,or,incongruent,left,Switch
cp_stroop,B,8,23,or,congruent,left,Repeat
cp_stroop,B,8,24,or,incongruent,left,Repeat
cp_stroop,B,8,25,or,congruent,right,Switch
cp_stroop,B,8,26,or,congruent,left,Switch
cp_stroop,B,8,27,or,incongruent,right,Switch
cp_stroop,B,8,28,or,incongruent,right,Repeat
cp_stroop,B,8,29,or,incongruent,right,Repeat
cp_stroop,B,8,30,or,incongruent,left,Switch
cp_stroop,B,8,31,or,congruent,right,Switch
cp_stroop,B,8,32,or,incongruent,right,Repeat
cp_stroop,B,8,33,or,incongruent,right,Repeat
cp_stroop,B,8,34,or,congruent,left,Switch
cp_stroop,B,8,35,or,congruent,left,Repeat
cp_stroop,B,8,36,or,incongruent,left,Repeat
cp_stroop,B,8,37,or,congruent,right,Switch
cp_stroop,B,8,38,or,congruent,left,Switch
cp_stroop,B,8,39,or,congruent,left,Repeat
cp_stroop,B,8,40,or,congruent,right,Switch
cp_stroop,B,8,41,or,congruent,left,Switch
cp_stroop,B,8,42,or,incongruent,left,Repeat
cp_stroop,B,8,43,or,congruent,left,Repeat
cp_stroop,B,8,44,or,incongruent,right,Switch
cp_stroop,B,8,45,or,incongruent,left,Switch
cp_stroop,B,8,46,or,incongruent,left,Repeat
cp_stroop,B,8,47,or,incongruent,left,Repeat
cp_stroop,B,8,48,or,congruent,right,Switch
cp_stroop,B,8,49,or,incongruent,left,Switch
cp_stroop,B,8,50,or,congruent,left,Repeat
cp_stroop,B,8,51,or,congruent,right,Switch
cp_stroop,B,8,52,or,incongruent,right,Repeat
cp_stroop,B,8,53,or,congruent,left,Switch
cp_stroop,B,8,54,or,incongruent,left,Repeat
cp_stroop,B,8,55,or,congruent,right,Switch
cp_stroop,B,8,56,or,congruent,right,Repeat
cp_stroop,B,8,57,or,congruent,right,Repeat
cp_stroop,B,8,58,or,incongruent,left,Switch
cp_stroop,B,8,59,or,incongruent,right,Switch
cp_stroop,B,8,60,or,incongruent,right,Repeat
cp_stroop,B,8,61,or,incongruent,left,Switch
cp_stroop,B,8,62,or,incongruent,left,Repeat
cp_stroop,B,8,63,or,congruent,right,Switch
cp_stroop,B,8,64,or,congruent,left,Switch
cp_stroop,B,8,65,or,congruent,left,Repeat
cp_stroop,B,8,66,or,incongruent,right,Switch
cp_stroop,B,8,67,or,congruent,left,Switch
cp_stroop,B,8,68,or,incongruent,left,Repeat
cp_stroop,B,8,69,or,incongruent,left,Repeat
cp_stroop,B,8,70,or,incongruent,left,Repeat
cp_stroop,B,8,71,or,incongruent,right,Switch
cp_stroop,B,8,72,or,congruent,right,Repeat
cp_stroop,B,8,73,or,incongruent,left,Switch
cp_stroop,B,8,74,or,congruent,right,Switch
cp_stroop,B,8,75,or,incongruent,right,Repeat
cp_stroop,B,8,76,or,congruent,left,Switch
cp_stroop,B,8,77,or,incongruent,left,Repeat
cp_stroop,B,8,78,or,congruent,right,Switch
cp_stroop,B,8,79,or,incongruent,right,Repeat
cp_stroop,B,8,80,or,congruent,right,Repeat
cp_stroop,B,8,81,or,congruent,right,Repeat
cp_stroop,B,8,82,or,congruent,left,Switch
cp_stroop,B,8,83,or,incongruent,right,Switch
cp_stroop,B,8,84,or,incongruent,left,Switch
cp_stroop,B,8,85,or,incongruent,left,Repeat
cp_stroop,B,8,86,or,congruent,left,Repeat
cp_stroop,B,8,87,or,congruent,right,Switch
cp_stroop,B,8,88,or,congruent,right,Repeat
cp_stroop,B,8,89,or,congruent,right,Repeat
cp_stroop,B,8,90,or,incongruent,left,Switch
cp_stroop,B,8,91,or,incongruent,left,Repeat
cp_stroop,B,8,92,or,incongruent,right,Switch
cp_stroop,B,8,93,or,incongruent,right,Repeat
cp_stroop,B,8,94,or,congruent,right,Repeat
cp_stroop,B,8,95,or,incongruent,right,Repeat
