block_id,condition,trial_index,task,congruency,target_coh_level,distractor_coh_level,target_dir
cp_stroop_crossed,A,0,mov,congruent,mid,high,right
cp_stroop_crossed,A,1,mov,incongruent,mid,high,left
cp_stroop_crossed,A,2,mov,congruent,mid,mid,right
cp_stroop_crossed,A,3,mov,congruent,low,low,left
cp_stroop_crossed,A,4,mov,incongruent,low,mid,left
cp_stroop_crossed,A,5,mov,incongruent,high,mid,left
cp_stroop_crossed,A,6,mov,incongruent,high,mid,left
cp_stroop_crossed,A,7,mov,congruent,mid,low,left
cp_stroop_crossed,A,8,mov,congruent,high,high,right
cp_stroop_crossed,A,9,mov,incongruent,low,mid,right
cp_stroop_crossed,A,10,mov,incongruent,mid,low,left
cp_stroop_crossed,A,11,mov,incongruent,low,high,left
cp_stroop_crossed,A,12,mov,congruent,low,mid,right
cp_stroop_crossed,A,13,mov,incongruent,low,high,left
cp_stroop_crossed,A,14,mov,incongruent,high,high,left
cp_stroop_crossed,A,15,mov,congruent,high,mid,left
cp_stroop_crossed,A,16,mov,incongruent,high,low,left
cp_stroop_crossed,A,17,mov,incongruent,low,high,right
cp_stroop_crossed,A,18,mov,incongruent,high,low,right
cp_stroop_crossed,A,19,mov,congruent,low,mid,left
cp_stroop_crossed,A,20,mov,incongruent,low,high,right
cp_stroop_crossed,A,21,mov,congruent,mid,mid,left
cp_stroop_crossed,A,22,mov,congruent,mid,high,right
cp_stroop_crossed,A,23,mov,incongruent,low,mid,left
cp_stroop_crossed,A,24,mov,congruent,high,low,right
cp_stroop_crossed,A,25,mov,congruent,low,high,left
cp_stroop_crossed,A,26,mov,congruent,high,low,left
cp_stroop_crossed,A,27,mov,congruent,high,low,left
cp_stroop_crossed,A,28,mov,congruent,high,high,left
cp_stroop_crossed,A,29,mov,incongruent,mid,mid,right
cp_stroop_crossed,A,30,mov,congruent,high,mid,left
cp_stroop_crossed,A,31,mov,incongruent,mid,high,left
cp_stroop_crossed,A,32,mov,congruent,low,mid,right
cp_stroop_crossed,A,33,mov,congruent,low,low,left
cp_stroop_crossed,A,34,mov,incongruent,low,low,left
cp_stroop_crossed,A,35,mov,congruent,low,mid,left
cp_stroop_crossed,A,36,mov,congruent,low,high,left
cp_stroop_crossed,A,37,mov,incongruent,low,low,right
cp_stroop_crossed,A,38,mov,congruent,high,mid,right
cp_stroop_crossed,A,39,mov,congruent,mid,low,left
cp_stroop_crossed,A,40,mov,incongruent,high,mid,right
cp_stroop_crossed,A,41,mov,congruent,low,mid,right
cp_stroop_crossed,A,42,mov,congruent,mid,low,right
cp_stroop_crossed,A,43,mov,incongruent,mid,high,right
cp_stroop_crossed,A,44,mov,incongruent,mid,low,left
cp_stroop_crossed,A,45,mov,incongruent,low,high,left
cp_stroop_crossed,A,46,mov,congruent,high,low,right
cp_stroop_crossed,A,47,mov,incongruent,low,mid,right
cp_stroop_crossed,A,48,mov,congruent,low,high,right
cp_stroop_crossed,A,49,mov,congruent,mid,mid,left
cp_stroop_crossed,A,50,mov,congruent,mid,high,left
cp_stroop_crossed,A,51,mov,congruent,mid,high,left
cp_stroop_crossed,A,52,mov,incongruent,low,low,right
cp_stroop_crossed,A,53,mov,congruent,mid,mid,left
cp_stroop_crossed,A,54,mov,incongruent,high,high,left
cp_stroop_crossed,A,55,mov,incongruent,mid,mid,right
cp_stroop_crossed,A,56,mov,incongruent,mid,high,left
cp_stroop_crossed,A,57,mov,incongruent,high,mid,right
cp_stroop_crossed,A,58,mov,incongruent,high,mid,left
cp_stroop_crossed,A,59,mov,incongruent,mid,mid,right
cp_stroop_crossed,A,60,mov,incongruent,high,high,right
cp_stroop_crossed,A,61,mov,incongruent,mid,low,right
cp_stroop_crossed,A,62,mov,congruent,low,high,right
cp_stroop_crossed,A,63,mov,incongruent,mid,low,right
cp_stroop_crossed,A,64,mov,congruent,mid,high,right
cp_stroop_crossed,A,65,mov,incongruent,mid,mid,left
cp_stroop_crossed,A,66,mov,congruent,mid,low,left
cp_stroop_crossed,A,67,mov,congruent,mid,high,left
cp_stroop_crossed,A,68,mov,incongruent,low,mid,left
cp_stroop_crossed,A,69,mov,congruent,low,low,right
cp_stroop_crossed,A,70,mov,congruent,high,mid,right
cp_stroop_crossed,A,71,mov,congruent,low,low,right
cp_stroop_crossed,A,72,mov,congruent,high,mid,left
cp_stroop_crossed,A,73,mov,congruent,low,low,right
cp_stroop_crossed,A,74,mov,incongruent,mid,mid,left
cp_stroop_crossed,A,75,mov,incongruent,mid,high,right
cp_stroop_crossed,A,76,mov,incongruent,high,high,right
cp_stroop_crossed,A,77,mov,incongruent,mid,low,left
cp_stroop_crossed,A,78,mov,incongruent,high,high,left
cp_stroop_crossed,A,79,mov,incongruent,mid,mid,left
cp_stroop_crossed,A,80,mov,incongruent,high,low,left
cp_stroop_crossed,A,81,mov,incongruent,high,low,right
cp_stroop_crossed,A,82,mov,incongruent,high,low,right
cp_stroop_crossed,A,83,mov,congruent,low,low,left
cp_stroop_crossed,A,84,mov,incongruent,low,high,right
cp_stroop_crossed,A,85,mov,congruent,high,high,left
cp_stroop_crossed,A,86,mov,congruent,high,high,right
cp_stroop_crossed,A,87,mov,congruent,mid,low,right
cp_stroop_crossed,A,88,mov,congruent,high,low,right
cp_stroop_crossed,A,89,mov,congruent,mid,mid,right
cp_stroop_crossed,A,90,mov,incongruent,mid,low,right
cp_stroop_crossed,A,91,mov,congruent,high,low,left
cp_stroop_crossed,A,92,mov,congruent,high,high,left
cp_stroop_crossed,A,93,mov,congruent,high,high,right
cp_stroop_crossed,A,94,mov,incongruent,low,low,left
cp_stroop_crossed,A,95,mov,incongruent,low,low,right
cp_stroop_crossed,A,96,mov,incongruent,high,low,left
cp_stroop_crossed,A,97,mov,incongruent,low,mid,right
cp_stroop_crossed,A,98,mov,incongruent,low,low,left
cp_stroop_crossed,A,99,mov,congruent,mid,low,right
cp_stroop_crossed,A,100,mov,congruent,low,mid,left
cp_stroop_crossed,A,101,mov,congruent,low,high,right
cp_stroop_crossed,A,102,mov,incongruent,mid,high,right
cp_stroop_crossed,A,103,mov,congruent,low,high,left
cp_stroop_crossed,A,104,mov,incongruent,high,mid,right
cp_stroop_crossed,A,105,mov,incongruent,high,high,right
cp_stroop_crossed,A,106,mov,congruent,mid,mid,right
cp_stroop_crossed,A,107,mov,congruent,high,mid,right
