block_id,condition,sequence_id,trial_index,task,congruency,target_coh_level,distractor_coh_level,target_dir
cp_stroop_crossed,A,43,0,mov,congruent,mid,high,right
cp_stroop_crossed,A,43,1,mov,congruent,low,mid,left
cp_stroop_crossed,A,43,2,mov,congruent,mid,low,right
cp_stroop_crossed,A,43,3,mov,incongruent,low,low,right
cp_stroop_crossed,A,43,4,mov,incongruent,mid,high,right
cp_stroop_crossed,A,43,5,mov,incongruent,mid,low,left
cp_stroop_crossed,A,43,6,mov,congruent,high,high,left
cp_stroop_crossed,A,43,7,mov,congruent,mid,low,right
cp_stroop_crossed,A,43,8,mov,incongruent,low,low,right
cp_stroop_crossed,A,43,9,mov,incongruent,low,mid,left
cp_stroop_crossed,A,43,10,mov,congruent,low,mid,right
cp_stroop_crossed,A,43,11,mov,incongruent,mid,mid,left
cp_stroop_crossed,A,43,12,mov,incongruent,mid,high,left
cp_stroop_crossed,A,43,13,mov,incongruent,high,mid,right
cp_stroop_crossed,A,43,14,mov,incongruent,high,high,left
cp_stroop_crossed,A,43,15,mov,congruent,mid,mid,right
cp_stroop_crossed,A,43,16,mov,incongruent,high,high,right
cp_stroop_crossed,A,43,17,mov,incongruent,low,low,left
cp_stroop_crossed,A,43,18,mov,incongruent,high,mid,right
cp_stroop_crossed,A,43,19,mov,incongruent,high,high,left
cp_stroop_crossed,A,43,20,mov,congruent,low,high,left
cp_stroop_crossed,A,43,21,mov,congruent,high,low,right
cp_stroop_crossed,A,43,22,mov,congruent,low,low,right
cp_stroop_crossed,A,43,23,mov,incongruent,mid,high,left
cp_stroop_crossed,A,43,24,mov,incongruent,high,mid,left
cp_stroop_crossed,A,43,25,mov,congruent,mid,low,left
cp_stroop_crossed,A,43,26,mov,congruent,high,high,right
cp_stroop_crossed,A,43,27,mov,congruent,mid,mid,left
cp_stroop_crossed,A,43,28,mov,congruent,high,low,left
cp_stroop_crossed,A,43,29,mov,congruent,high,mid,left
cp_stroop_crossed,A,43,30,mov,congruent,high,low,right
cp_stroop_crossed,A,43,31,mov,congruent,mid,high,right
cp_stroop_crossed,A,43,32,mov,incongruent,mid,mid,right
cp_stroop_crossed,A,43,33,mov,incongruent,high,low,right
cp_stroop_crossed,A,43,34,mov,incongruent,mid,low,left
cp_stroop_crossed,A,43,35,mov,incongruent,low,mid,right
cp_stroop_crossed,A,43,36,mov,congruent,low,high,right
cp_stroop_crossed,A,43,37,mov,congruent,low,low,right
cp_stroop_crossed,A,43,38,mov,congruent,low,low,left
cp_stroop_crossed,A,43,39,mov,congruent,low,low,right
cp_stroop_crossed,A,43,40,mov,congruent,high,high,right
cp_stroop_crossed,A,43,41,mov,congruent,mid,mid,right
cp_stroop_crossed,A,43,42,mov,incongruent,low,high,right
cp_stroop_crossed,A,43,43,mov,incongruent,low,high,left
cp_stroop_crossed,A,43,44,mov,incongruent,low,high,right
cp_stroop_crossed,A,43,45,mov,incongruent,mid,high,left
cp_stroop_crossed,A,43,46,mov,congruent,high,mid,right
cp_stroop_crossed,A,43,47,mov,incongruent,low,low,right
cp_stroop_crossed,A,43,48,mov,incongruent,high,high,left
cp_stroop_crossed,A,43,49,mov,incongruent,mid,mid,left
cp_stroop_crossed,A,43,50,mov,incongruent,low,mid,left
cp_stroop_crossed,A,43,51,mov,incongruent,low,mid,right
cp_stroop_crossed,A,43,52,mov,congruent,low,high,right
cp_stroop_crossed,A,43,53,mov,congruent,mid,high,left
cp_stroop_crossed,A,43,54,mov,congruent,high,high,left
cp_stroop_crossed,A,43,55,mov,congruent,mid,high,right
cp_stroop_crossed,A,43,56,mov,congruent,high,high,left
cp_stroop_crossed,A,43,57,mov,congruent,low,high,right
cp_stroop_crossed,A,43,58,mov,congruent,mid,high,left
cp_stroop_crossed,A,43,59,mov,incongruent,high,low,left
cp_stroop_crossed,A,43,60,mov,incongruent,mid,mid,left
cp_stroop_crossed,A,43,61,mov,congruent,high,mid,left
cp_stroop_crossed,A,43,62,mov,congruent,high,low,right
cp_stroop_crossed,A,43,63,mov,congruent,low,mid,left
cp_stroop_crossed,A,43,64,mov,incongruent,high,low,right
cp_stroop_crossed,A,43,65,mov,incongruent,high,low,left
cp_stroop_crossed,A,43,66,mov,congruent,high,low,left
cp_stroop_crossed,A,43,67,mov,incongruent,mid,low,right
cp_stroop_crossed,A,43,68,mov,congruent,high,mid,left
cp_stroop_crossed,A,43,69,mov,incongruent,low,mid,left
cp_stroop_crossed,A,43,70,mov,congruent,low,low,left
cp_stroop_crossed,A,43,71,mov,incongruent,high,high,right
cp_stroop_crossed,A,43,72,mov,congruent,high,mid,right
cp_stroop_crossed,A,43,73,mov,incongruent,high,mid,right
cp_stroop_crossed,A,43,74,mov,congruent,low,mid,right
cp_stroop_crossed,A,43,75,mov,incongruent,mid,mid,right
cp_stroop_crossed,A,43,76,mov,incongruent,low,high,right
cp_stroop_crossed,A,43,77,mov,incongruent,mid,low,left
cp_stroop_crossed,A,43,78,mov,incongruent,high,high,right
cp_stroop_crossed,A,43,79,mov,congruent,mid,mid,right
cp_stroop_crossed,A,43,80,mov,incongruent,mid,high,right
cp_stroop_crossed,A,43,81,mov,congruent,mid,high,left
cp_stroop_crossed,A,43,82,mov,incongruent,low,mid,right
cp_stroop_crossed,A,43,83,mov,congruent,low,high,left
cp_stroop_crossed,A,43,84,mov,congruent,low,high,left
cp_stroop_crossed,A,43,85,mov,congruent,mid,low,left
cp_stroop_crossed,A,43,86,mov,incongruent,mid,low,right
cp_stroop_crossed,A,43,87,mov,congruent,high,mid,right
cp_stroop_crossed,A,43,88,mov,incongruent,high,mid,left
cp_stroop_crossed,A,43,89,mov,congruent,mid,low,left
cp_stroop_crossed,A,43,90,mov,incongruent,mid,mid,right
cp_stroop_crossed,A,43,91,mov,incongruent,high,low,left
cp_stroop_crossed,A,43,92,mov,incongruent,low,low,left
cp_stroop_crossed,A,43,93,mov,congruent,mid,mid,left
