block_id,condition,trial_index,task,congruency,target_coh_level,distractor_coh_level,target_dir
cp_stroop_crossed,B,0,or,congruent,low,mid,right
cp_stroop_crossed,B,1,or,congruent,low,high,left
cp_stroop_crossed,B,2,or,congruent,mid,high,right
cp_stroop_crossed,B,3,or,congruent,high,low,right
cp_stroop_crossed,B,4,or,incongruent,low,low,right
cp_stroop_crossed,B,5,or,incongruent,low,mid,left
cp_stroop_crossed,B,6,or,congruent,high,high,right
cp_stroop_crossed,B,7,or,incongruent,low,low,left
cp_stroop_crossed,B,8,or,incongruent,mid,mid,left
cp_stroop_crossed,B,9,or,congruent,mid,low,right
cp_stroop_crossed,B,10,or,incongruent,high,high,right
cp_stroop_crossed,B,11,or,incongruent,mid,low,right
cp_stroop_crossed,B,12,or,congruent,high,low,left
cp_stroop_crossed,B,13,or,incongruent,low,high,right
cp_stroop_crossed,B,14,or,incongruent,high,low,right
cp_stroop_crossed,B,15,or,incongruent,low,high,left
cp_stroop_crossed,B,16,or,incongruent,mid,mid,right
cp_stroop_crossed,B,17,or,congruent,high,mid,left
cp_stroop_crossed,B,18,or,incongruent,high,high,left
cp_stroop_crossed,B,19,or,congruent,mid,high,left
cp_stroop_crossed,B,20,or,congruent,mid,mid,right
cp_stroop_crossed,B,21,or,incongruent,mid,low,left
cp_stroop_crossed,B,22,or,incongruent,mid,high,left
cp_stroop_crossed,B,23,or,incongruent,high,mid,left
cp_stroop_crossed,B,24,or,incongruent,low,low,right
cp_stroop_crossed,B,25,or,congruent,mid,low,left
cp_stroop_crossed,B,26,or,incongruent,low,mid,left
cp_stroop_crossed,B,27,or,congruent,low,mid,right
cp_stroop_crossed,B,28,or,congruent,high,low,left
cp_stroop_crossed,B,29,or,congruent,low,mid,left
cp_stroop_crossed,B,30,or,congruent,low,low,right
cp_stroop_crossed,B,31,or,congruent,low,low,right
cp_stroop_crossed,B,32,or,congruent,high,high,left
cp_stroop_crossed,B,33,or,congruent,low,mid,left
cp_stroop_crossed,B,34,or,congruent,low,low,left
cp_stroop_crossed,B,35,or,congruent,mid,low,right
cp_stroop_crossed,B,36,or,congruent,high,mid,right
cp_stroop_crossed,B,37,or,congruent,high,mid,right
cp_stroop_crossed,B,38,or,incongruent,mid,low,right
cp_stroop_crossed,B,39,or,congruent,low,low,left
cp_stroop_crossed,B,40,or,congruent,mid,mid,left
cp_stroop_crossed,B,41,or,congruent,mid,low,left
cp_stroop_crossed,B,42,or,congruent,mid,mid,left
cp_stroop_crossed,B,43,or,incongruent,high,high,left
cp_stroop_crossed,B,44,or,congruent,mid,mid,right
cp_stroop_crossed,B,45,or,incongruent,high,mid,left
cp_stroop_crossed,B,46,or,incongruent,mid,mid,left
cp_stroop_crossed,B,47,or,incongruent,low,high,left
cp_stroop_crossed,B,48,or,incongruent,high,low,right
cp_stroop_crossed,B,49,or,incongruent,high,mid,right
cp_stroop_crossed,B,50,or,congruent,low,high,left
cp_stroop_crossed,B,51,or,congruent,high,low,right
cp_stroop_crossed,B,52,or,incongruent,mid,high,left
cp_stroop_crossed,B,53,or,congruent,low,high,right
cp_stroop_crossed,B,54,or,incongruent,high,low,left
cp_stroop_crossed,B,55,or,incongruent,high,mid,left
cp_stroop_crossed,B,56,or,incongruent,mid,low,right
cp_stroop_crossed,B,57,or,congruent,mid,low,right
