block_id,condition,sequence_id,trial_index,task,congruency,target_coh_level,distractor_coh_level,target_dir
cp_stroop_crossed,B,9,0,or,incongruent,mid,mid,left
cp_stroop_crossed,B,9,1,or,incongruent,mid,high,left
cp_stroop_crossed,B,9,2,or,incongruent,mid,low,right
cp_stroop_crossed,B,9,3,or,incongruent,mid,high,right
cp_stroop_crossed,B,9,4,or,incongruent,high,low,right
cp_stroop_crossed,B,9,5,or,incongruent,high,high,right
cp_stroop_crossed,B,9,6,or,incongruent,high,mid,left
cp_stroop_crossed,B,9,7,or,congruent,low,low,left
cp_stroop_crossed,B,9,8,or,congruent,mid,high,right
cp_stroop_crossed,B,9,9,or,incongruent,high,mid,right
cp_stroop_crossed,B,9,10,or,congruent,mid,low,right
cp_stroop_crossed,B,9,11,or,congruent,low,high,left
cp_stroop_crossed,B,9,12,or,congruent,mid,low,right
cp_stroop_crossed,B,9,13,or,incongruent,high,high,left
cp_stroop_crossed,B,9,14,or,incongruent,mid,mid,left
cp_stroop_crossed,B,9,15,or,incongruent,low,low,left
cp_stroop_crossed,B,9,16,or,incongruent,high,mid,right
cp_stroop_crossed,B,9,17,or,incongruent,low,high,left
cp_stroop_crossed,B,9,18,or,incongruent,mid,mid,right
cp_stroop_crossed,B,9,19,or,incongruent,low,high,right
cp_stroop_crossed,B,9,20,or,congruent,high,high,left
cp_stroop_crossed,B,9,21,or,congruent,high,mid,right
cp_stroop_crossed,B,9,22,or,congruent,low,high,left
cp_stroop_crossed,B,9,23,or,congruent,high,mid,left
cp_stroop_crossed,B,9,24,or,congruent,high,mid,right
cp_stroop_crossed,B,9,25,or,congruent,high,high,right
cp_stroop_crossed,B,9,26,or,congruent,mid,high,left
cp_stroop_crossed,B,9,27,or,congruent,mid,mid,left
cp_stroop_crossed,B,9,28,or,incongruent,high,low,left
cp_stroop_crossed,B,9,29,or,congruent,low,low,right
cp_stroop_crossed,B,9,30,or,incongruent,low,high,right
cp_stroop_crossed,B,9,31,or,incongruent,low,low,right
cp_stroop_crossed,B,9,32,or,congruent,high,mid,left
cp_stroop_crossed,B,9,33,or,incongruent,high,low,right
cp_stroop_crossed,B,9,34,or,incongruent,mid,mid,right
cp_stroop_crossed,B,9,35,or,incongruent,high,mid,left
cp_stroop_crossed,B,9,36,or,congruent,high,high,left
cp_stroop_crossed,B,9,37,or,congruent,high,low,right
cp_stroop_crossed,B,9,38,or,congruent,low,high,right
cp_stroop_crossed,B,9,39,or,congruent,low,mid,left
cp_stroop_crossed,B,9,40,or,congruent,mid,low,left
cp_stroop_crossed,B,9,41,or,congruent,high,low,left
cp_stroop_crossed,B,9,42,or,incongruent,low,mid,right
cp_stroop_crossed,B,9,43,or,incongruent,high,low,left
cp_stroop_crossed,B,9,44,or,congruent,mid,low,right
cp_stroop_crossed,B,9,45,or,congruent,mid,mid,right
cp_stroop_crossed,B,9,46,or,congruent,mid,mid,left
cp_stroop_crossed,B,9,47,or,incongruent,high,mid,right
cp_stroop_crossed,B,9,48,or,congruent,high,high,left
cp_stroop_crossed,B,9,49,or,congruent,high,high,right
cp_stroop_crossed,B,9,50,or,congruent,mid,high,left
cp_stroop_crossed,B,9,51,or,incongruent,low,high,right
cp_stroop_crossed,B,9,52,or,incongruent,high,low,right
cp_stroop_crossed,B,9,53,or,incongruent,high,high,right
cp_stroop_crossed,B,9,54,or,incongruent,mid,low,right
cp_stroop_crossed,B,9,55,or,incongruent,low,low,right
cp_stroop_crossed,B,9,56,or,incongruent,mid,mid,left
cp_stroop_crossed,B,9,57,or,congruent,mid,high,left
cp_stroop_crossed,B,9,58,or,incongruent,high,high,left
cp_stroop_crossed,B,9,59,or,congruent,high,low,left
cp_stroop_crossed,B,9,60,or,incongruent,high,low,left
cp_stroop_crossed,B,9,61,or,incongruent,low,mid,left
cp_stroop_crossed,B,9,62,or,congruent,mid,low,left
cp_stroop_crossed,B,9,63,or,congruent,low,mid,right
cp_stroop_crossed,B,9,64,or,congruent,mid,low,left
cp_stroop_crossed,B,9,65,or,congruent,low,high,right
cp_stroop_crossed,B,9,66,or,incongruent,mid,low,right
cp_stroop_crossed,B,9,67,or,congruent,mid,high,right
cp_stroop_crossed,B,9,68,or,incongruent,low,high,left
cp_stroop_crossed,B,9,69,or,incongruent,mid,low,left
cp_stroop_crossed,B,9,70,or,congruent,high,mid,left
cp_stroop_crossed,B,9,71,or,incongruent,low,mid,right
cp_stroop_crossed,B,9,72,or,incongruent,low,mid,left
cp_stroop_crossed,B,9,73,or,incongruent,mid,high,left
cp_stroop_crossed,B,9,74,or,incongruent,high,mid,left
cp_stroop_crossed,B,9,75,or,congruent,low,mid,left
cp_stroop_crossed,B,9,76,or,incongruent,low,low,left
cp_stroop_crossed,B,9,77,or,incongruent,high,high,left
cp_stroop_crossed,B,9,78,or,congruent,low,low,left
cp_stroop_crossed,B,9,79,or,congruent,high,mid,right
cp_stroop_crossed,B,9,80,or,congruent,low,mid,right
cp_stroop_crossed,B,9,81,or,incongruent,low,high,left
cp_stroop_crossed,B,9,82,or,congruent,low,low,left
cp_stroop_crossed,B,9,83,or,congruent,mid,high,right
cp_stroop_crossed,B,9,84,or,incongruent,high,high,right
cp_stroop_crossed,B,9,85,or,congruent,low,low,right
cp_stroop_crossed,B,9,86,or,congruent,low,high,left
cp_stroop_crossed,B,9,87,or,incongruent,low,low,right
cp_stroop_crossed,B,9,88,or,incongruent,mid,low,left
cp_stroop_crossed,B,9,89,or,congruent,high,high,right
cp_stroop_crossed,B,9,90,or,incongruent,mid,high,left
cp_stroop_crossed,B,9,91,or,congruent,low,mid,right
cp_stroop_crossed,B,9,92,or,incongruent,low,low,left
cp_stroop_crossed,B,9,93,or,congruent,low,low,right
