block_id,condition,sequence_id,trial_index,task,task_transition,response_transition,congruency,target_coh_level,target_dir
cp_taskswitch,A,23,0,mov,First,First,congruent,hard,right
cp_taskswitch,A,23,1,mov,Repeat,Repeat,congruent,hard,right
cp_taskswitch,A,23,2,or,Switch,Switch,incongruent,hard,left
cp_taskswitch,A,23,3,mov,Switch,Switch,congruent,easy,right
cp_taskswitch,A,23,4,or,Switch,Switch,congruent,hard,left
cp_taskswitch,A,23,5,or,Repeat,Repeat,congruent,hard,left
cp_taskswitch,A,23,6,mov,Switch,Repeat,incongruent,hard,left
cp_taskswitch,A,23,7,or,Switch,Switch,incongruent,easy,right
cp_taskswitch,A,23,8,mov,Switch,Repeat,incongruent,hard,right
cp_taskswitch,A,23,9,mov,Repeat,Switch,incongruent,easy,left
cp_taskswitch,A,23,10,mov,Repeat,Repeat,incongruent,easy,left
cp_taskswitch,A,23,11,mov,Repeat,Switch,congruent,easy,right
cp_taskswitch,A,23,12,or,Switch,Switch,incongruent,hard,left
cp_taskswitch,A,23,13,or,Repeat,Repeat,congruent,hard,left
cp_taskswitch,A,23,14,or,Repeat,Switch,congruent,hard,right
cp_taskswitch,A,23,15,or,Repeat,Switch,incongruent,hard,left
cp_taskswitch,A,23,16,mov,Switch,Repeat,incongruent,hard,left
cp_taskswitch,A,23,17,or,Switch,Repeat,congruent,easy,left
cp_taskswitch,A,23,18,mov,Switch,Switch,incongruent,easy,right
cp_taskswitch,A,23,19,mov,Repeat,Switch,congruent,easy,left
cp_taskswitch,A,23,20,or,Switch,Repeat,congruent,hard,left
cp_taskswitch,A,23,21,or,Repeat,Switch,incongruent,hard,right
cp_taskswitch,A,23,22,or,Repeat,Switch,congruent,hard,left
cp_taskswitch,A,23,23,mov,Switch,Repeat,congruent,hard,left
cp_taskswitch,A,23,24,or,Switch,Repeat,incongruent,easy,left
cp_taskswitch,A,23,25,or,Repeat,Switch,incongruent,easy,right
cp_taskswitch,A,23,26,mov,Switch,Repeat,congruent,hard,right
cp_taskswitch,A,23,27,mov,Repeat,Repeat,incongruent,easy,right
cp_taskswitch,A,23,28,mov,Repeat,Repeat,incongruent,easy,right
cp_taskswitch,A,23,29,or,Switch,Switch,congruent,hard,left
cp_taskswitch,A,23,30,or,Repeat,Repeat,congruent,easy,left
cp_taskswitch,A,23,31,or,Repeat,Repeat,incongruent,hard,left
cp_taskswitch,A,23,32,mov,Switch,Switch,congruent,hard,right
cp_taskswitch,A,23,33,mov,Repeat,Switch,incongruent,hard,left
cp_taskswitch,A,23,34,mov,Repeat,Repeat,congruent,easy,left
cp_taskswitch,A,23,35,or,Switch,Switch,congruent,easy,right
cp_taskswitch,A,23,36,mov,Switch,Repeat,congruent,hard,right
cp_taskswitch,A,23,37,or,Switch,Repeat,congruent,easy,right
cp_taskswitch,A,23,38,or,Repeat,Switch,congruent,hard,left
cp_taskswitch,A,23,39,or,Repeat,Repeat,incongruent,easy,left
cp_taskswitch,A,23,40,mov,Switch,Switch,incongruent,easy,right
