block_id,condition,trial_index,task,task_transition,response_transition,congruency,target_coh_level,target_dir
cp_taskswitch,B,0,or,First,First,congruent,easy,left
cp_taskswitch,B,1,mov,Switch,Switch,incongruent,hard,right
cp_taskswitch,B,2,mov,Repeat,Repeat,incongruent,hard,right
cp_taskswitch,B,3,mov,Repeat,Switch,incongruent,hard,left
cp_taskswitch,B,4,or,Switch,Switch,congruent,hard,right
cp_taskswitch,B,5,or,Repeat,Switch,incongruent,hard,left
cp_taskswitch,B,6,or,Repeat,Repeat,incongruent,easy,left
cp_taskswitch,B,7,mov,Switch,Repeat,incongruent,hard,left
cp_taskswitch,B,8,mov,Repeat,Repeat,congruent,hard,left
cp_taskswitch,B,9,or,Switch,Switch,congruent,easy,right
cp_taskswitch,B,10,or,Repeat,Switch,congruent,easy,left
cp_taskswitch,B,11,mov,Switch,Repeat,incongruent,hard,left
cp_taskswitch,B,12,or,Switch,Switch,congruent,easy,right
cp_taskswitch,B,13,or,Repeat,Repeat,congruent,easy,right
cp_taskswitch,B,14,or,Repeat,Switch,incongruent,hard,left
cp_taskswitch,B,15,mov,Switch,Switch,incongruent,hard,right
cp_taskswitch,B,16,or,Switch,Repeat,incongruent,easy,right
cp_taskswitch,B,17,or,Repeat,Switch,incongruent,hard,left
cp_taskswitch,B,18,or,Repeat,Repeat,congruent,hard,left
cp_taskswitch,B,19,mov,Switch,Repeat,congruent,easy,left
cp_taskswitch,B,20,mov,Repeat,Repeat,incongruent,hard,left
cp_taskswitch,B,21,mov,Repeat,Switch,incongruent,easy,right
cp_taskswitch,B,22,or,Switch,Repeat,congruent,hard,right
cp_taskswitch,B,23,or,Repeat,Switch,congruent,hard,left
cp_taskswitch,B,24,mov,Switch,Repeat,incongruent,easy,left
cp_taskswitch,B,25,mov,Repeat,Switch,congruent,easy,right
cp_taskswitch,B,26,mov,Repeat,Switch,incongruent,easy,left
cp_taskswitch,B,27,or,Switch,Switch,congruent,hard,right
cp_taskswitch,B,28,mov,Switch,Repeat,congruent,easy,right
cp_taskswitch,B,29,or,Switch,Switch,incongruent,hard,left
cp_taskswitch,B,30,or,Repeat,Repeat,incongruent,easy,left
cp_taskswitch,B,31,mov,Switch,Repeat,congruent,easy,left
cp_taskswitch,B,32,or,Switch,Switch,incongruent,easy,right
cp_taskswitch,B,33,or,Repeat,Repeat,incongruent,easy,right
cp_taskswitch,B,34,mov,Switch,Switch,incongruent,easy,left
cp_taskswitch,B,35,or,Switch,Repeat,congruent,hard,left
cp_taskswitch,B,36,or,Repeat,Repeat,congruent,easy,left
cp_taskswitch,B,37,or,Repeat,Repeat,congruent,hard,left
cp_taskswitch,B,38,mov,Switch,Switch,congruent,hard,right
cp_taskswitch,B,39,mov,Repeat,Repeat,incongruent,easy,right
cp_taskswitch,B,40,mov,Repeat,Switch,incongruent,easy,left
cp_taskswitch,B,41,mov,Repeat,Switch,incongruent,easy,right
cp_taskswitch,B,42,or,Switch,Repeat,congruent,easy,right
cp_taskswitch,B,43,mov,Switch,Switch,congruent,easy,left
cp_taskswitch,B,44,or,Switch,Switch,congruent,easy,right
cp_taskswitch,B,45,or,Repeat,Switch,congruent,easy,left
cp_taskswitch,B,46,mov,Switch,Repeat,congruent,hard,left
cp_taskswitch,B,47,or,Switch,Switch,incongruent,hard,right
cp_taskswitch,B,48,mov,Switch,Repeat,incongruent,easy,right
cp_taskswitch,B,49,mov,Repeat,Repeat,incongruent,hard,right
cp_taskswitch,B,50,or,Switch,Switch,incongruent,easy,left
cp_taskswitch,B,51,or,Repeat,Repeat,congruent,easy,left
cp_taskswitch,B,52,or,Repeat,Repeat,congruent,easy,left
cp_taskswitch,B,53,mov,Switch,Switch,incongruent,hard,right
cp_taskswitch,B,54,or,Switch,Switch,incongruent,hard,left
cp_taskswitch,B,55,or,Repeat,Switch,congruent,easy,right
cp_taskswitch,B,56,or,Repeat,Repeat,congruent,easy,right
cp_taskswitch,B,57,mov,Switch,Switch,congruent,hard,left
cp_taskswitch,B,58,or,Switch,Repeat,incongruent,hard,left
cp_taskswitch,B,59,mov,Switch,Repeat,incongruent,hard,left
cp_taskswitch,B,60,mov,Repeat,Switch,congruent,hard,right
cp_taskswitch,B,61,mov,Repeat,Switch,incongruent,easy,left
cp_taskswitch,B,62,mov,Repeat,Switch,incongruent,hard,right
cp_taskswitch,B,63,or,Switch,Repeat,congruent,easy,right
cp_taskswitch,B,64,or,Repeat,Repeat,incongruent,hard,right
cp_taskswitch,B,65,mov,Switch,Switch,congruent,easy,left
cp_taskswitch,B,66,mov,Repeat,Switch,incongruent,hard,right
cp_taskswitch,B,67,mov,Repeat,Repeat,congruent,hard,right
cp_taskswitch,B,68,mov,Repeat,Repeat,incongruent,hard,right
cp_taskswitch,B,69,or,Switch,Repeat,incongruent,hard,right
cp_taskswitch,B,70,or,Repeat,Switch,congruent,easy,left
cp_taskswitch,B,71,mov,Switch,Switch,congruent,easy,right
cp_taskswitch,B,72,or,Switch,Repeat,congruent,hard,right
cp_taskswitch,B,73,or,Repeat,Switch,congruent,hard,left
cp_taskswitch,B,74,mov,Switch,Repeat,congruent,easy,left
cp_taskswitch,B,75,or,Switch,Switch,congruent,hard,right
cp_taskswitch,B,76,or,Repeat,Repeat,congruent,hard,right
cp_taskswitch,B,77,mov,Switch,Repeat,incongruent,easy,right
cp_taskswitch,B,78,mov,Repeat,Repeat,incongruent,easy,right
cp_taskswitch,B,79,mov,Repeat,Switch,congruent,hard,left
cp_taskswitch,B,80,mov,Repeat,Switch,congruent,hard,right
cp_taskswitch,B,81,or,Switch,Repeat,incongruent,easy,right
cp_taskswitch,B,82,mov,Switch,Switch,incongruent,easy,left
cp_taskswitch,B,83,or,Switch,Repeat,incongruent,hard,left
cp_taskswitch,B,84,or,Repeat,Repeat,congruent,easy,left
cp_taskswitch,B,85,or,Repeat,Switch,incongruent,easy,right
cp_taskswitch,B,86,mov,Switch,Repeat,congruent,hard,right
cp_taskswitch,B,87,or,Switch,Repeat,congruent,hard,right
cp_taskswitch,B,88,mov,Switch,Repeat,incongruent,easy,right
cp_taskswitch,B,89,mov,Repeat,Switch,congruent,hard,left
cp_taskswitch,B,90,or,Switch,Switch,incongruent,easy,right
cp_taskswitch,B,91,or,Repeat,Repeat,congruent,hard,right
cp_taskswitch,B,92,mov,Switch,Switch,incongruent,easy,left
cp_taskswitch,B,93,mov,Repeat,Switch,congruent,easy,right
cp_taskswitch,B,94,mov,Repeat,Repeat,incongruent,easy,right
cp_taskswitch,B,95,mov,Repeat,Repeat,incongruent,hard,right
