block_id,condition,trial_index,task,task_transition,response_transition,congruency,target_coh_level,target_dir
cp_taskswitch_asym,A,0,or,First,First,congruent,hard,left
cp_taskswitch_asym,A,1,or,Repeat,Switch,congruent,hard,right
cp_taskswitch_asym,A,2,mov,Switch,Repeat,incongruent,easy,right
cp_taskswitch_asym,A,3,or,Switch,Switch,incongruent,hard,left
cp_taskswitch_asym,A,4,or,Repeat,Switch,incongruent,hard,right
cp_taskswitch_asym,A,5,or,Repeat,Repeat,incongruent,hard,right
cp_taskswitch_asym,A,6,mov,Switch,Switch,congruent,easy,left
cp_taskswitch_asym,A,7,mov,Repeat,Repeat,congruent,easy,left
cp_taskswitch_asym,A,8,mov,Repeat,Switch,congruent,easy,right
cp_taskswitch_asym,A,9,mov,Repeat,Repeat,incongruent,easy,right
cp_taskswitch_asym,A,10,or,Switch,Switch,congruent,hard,left
cp_taskswitch_asym,A,11,or,Repeat,Switch,congruent,hard,right
cp_taskswitch_asym,A,12,mov,Switch,Switch,congruent,easy,left
cp_taskswitch_asym,A,13,or,Switch,Repeat,congruent,hard,left
cp_taskswitch_asym,A,14,or,Repeat,Switch,congruent,hard,right
cp_taskswitch_asym,A,15,mov,Switch,Repeat,congruent,easy,right
cp_taskswitch_asym,A,16,mov,Repeat,Repeat,incongruent,easy,right
cp_taskswitch_asym,A,17,mov,Repeat,Switch,congruent,easy,left
cp_taskswitch_asym,A,18,or,Switch,Repeat,incongruent,hard,left
cp_taskswitch_asym,A,19,or,Repeat,Switch,congruent,hard,right
cp_taskswitch_asym,A,20,mov,Switch,Repeat,incongruent,easy,right
cp_taskswitch_asym,A,21,or,Switch,Repeat,congruent,hard,right
cp_taskswitch_asym,A,22,mov,Switch,Switch,congruent,easy,left
cp_taskswitch_asym,A,23,mov,Repeat,Switch,congruent,easy,right
cp_taskswitch_asym,A,24,or,Switch,Repeat,congruent,hard,right
cp_taskswitch_asym,A,25,or,Repeat,Switch,incongruent,hard,left
cp_taskswitch_asym,A,26,mov,Switch,Switch,congruent,easy,right
cp_taskswitch_asym,A,27,mov,Repeat,Repeat,congruent,easy,right
cp_taskswitch_asym,A,28,or,Switch,Repeat,incongruent,hard,right
cp_taskswitch_asym,A,29,mov,Switch,Switch,incongruent,easy,left
cp_taskswitch_asym,A,30,mov,Repeat,Repeat,congruent,easy,left
cp_taskswitch_asym,A,31,mov,Repeat,Repeat,congruent,easy,left
cp_taskswitch_asym,A,32,or,Switch,Switch,congruent,hard,right
cp_taskswitch_asym,A,33,or,Repeat,Switch,congruent,hard,left
cp_taskswitch_asym,A,34,or,Repeat,Repeat,congruent,hard,left
cp_taskswitch_asym,A,35,mov,Switch,Switch,incongruent,easy,right
cp_taskswitch_asym,A,36,mov,Repeat,Switch,congruent,easy,left
cp_taskswitch_asym,A,37,mov,Repeat,Repeat,incongruent,easy,left
cp_taskswitch_asym,A,38,mov,Repeat,Repeat,congruent,easy,left
cp_taskswitch_asym,A,39,or,Switch,Switch,incongruent,hard,right
cp_taskswitch_asym,A,40,mov,Switch,Repeat,incongruent,easy,right
cp_taskswitch_asym,A,41,mov,Repeat,Switch,congruent,easy,left
cp_taskswitch_asym,A,42,mov,Repeat,Repeat,congruent,easy,left
cp_taskswitch_asym,A,43,or,Switch,Switch,congruent,hard,right
cp_taskswitch_asym,A,44,or,Repeat,Switch,incongruent,hard,left
cp_taskswitch_asym,A,45,or,Repeat,Switch,incongruent,hard,right
cp_taskswitch_asym,A,46,mov,Switch,Repeat,congruent,easy,right
cp_taskswitch_asym,A,47,or,Switch,Switch,incongruent,hard,left
cp_taskswitch_asym,A,48,mov,Switch,Repeat,incongruent,easy,left
cp_taskswitch_asym,A,49,mov,Repeat,Switch,incongruent,easy,right
cp_taskswitch_asym,A,50,or,Switch,Repeat,congruent,hard,right
cp_taskswitch_asym,A,51,or,Repeat,Switch,incongruent,hard,left
cp_taskswitch_asym,A,52,or,Repeat,Repeat,congruent,hard,left
cp_taskswitch_asym,A,53,mov,Switch,Switch,incongruent,easy,right
cp_taskswitch_asym,A,54,or,Switch,Switch,congruent,hard,left
cp_taskswitch_asym,A,55,or,Repeat,Switch,incongruent,hard,right
cp_taskswitch_asym,A,56,mov,Switch,Repeat,incongruent,easy,right
cp_taskswitch_asym,A,57,mov,Repeat,Switch,incongruent,easy,left
cp_taskswitch_asym,A,58,or,Switch,Repeat,congruent,hard,left
cp_taskswitch_asym,A,59,mov,Switch,Switch,incongruent,easy,right
cp_taskswitch_asym,A,60,or,Switch,Switch,congruent,hard,left
cp_taskswitch_asym,A,61,or,Repeat,Repeat,incongruent,hard,left
cp_taskswitch_asym,A,62,mov,Switch,Switch,congruent,easy,right
cp_taskswitch_asym,A,63,or,Switch,Repeat,congruent,hard,right
cp_taskswitch_asym,A,64,or,Repeat,Switch,incongruent,hard,left
cp_taskswitch_asym,A,65,or,Repeat,Repeat,incongruent,hard,left
cp_taskswitch_asym,A,66,mov,Switch,Repeat,incongruent,easy,left
cp_taskswitch_asym,A,67,or,Switch,Switch,incongruent,hard,right
cp_taskswitch_asym,A,68,mov,Switch,Repeat,incongruent,easy,right
cp_taskswitch_asym,A,69,mov,Repeat,Repeat,incongruent,easy,right
cp_taskswitch_asym,A,70,or,Switch,Switch,congruent,hard,left
cp_taskswitch_asym,A,71,or,Repeat,Repeat,congruent,hard,left
cp_taskswitch_asym,A,72,or,Repeat,Repeat,incongruent,hard,left
cp_taskswitch_asym,A,73,mov,Switch,Repeat,congruent,easy,left
cp_taskswitch_asym,A,74,mov,Repeat,Switch,congruent,easy,right
cp_taskswitch_asym,A,75,or,Switch,Repeat,congruent,hard,right
cp_taskswitch_asym,A,76,mov,Switch,Repeat,incongruent,easy,right
cp_taskswitch_asym,A,77,mov,Repeat,Repeat,incongruent,easy,right
cp_taskswitch_asym,A,78,or,Switch,Switch,congruent,hard,left
cp_taskswitch_asym,A,79,mov,Switch,Switch,incongruent,easy,right
cp_taskswitch_asym,A,80,mov,Repeat,Repeat,incongruent,easy,right
cp_taskswitch_asym,A,81,mov,Repeat,Switch,incongruent,easy,left
cp_taskswitch_asym,A,82,or,Switch,Repeat,incongruent,hard,left
cp_taskswitch_asym,A,83,or,Repeat,Switch,congruent,hard,right
cp_taskswitch_asym,A,84,mov,Switch,Repeat,incongruent,easy,right
cp_taskswitch_asym,A,85,or,Switch,Switch,incongruent,hard,left
cp_taskswitch_asym,A,86,or,Repeat,Repeat,congruent,hard,left
cp_taskswitch_asym,A,87,mov,Switch,Switch,incongruent,easy,right
cp_taskswitch_asym,A,88,or,Switch,Repeat,congruent,hard,right
cp_taskswitch_asym,A,89,or,Repeat,Repeat,incongruent,hard,right
cp_taskswitch_asym,A,90,or,Repeat,Switch,incongruent,hard,left
cp_taskswitch_asym,A,91,mov,Switch,Repeat,congruent,easy,left
cp_taskswitch_asym,A,92,mov,Repeat,Repeat,congruent,easy,left
cp_taskswitch_asym,A,93,mov,Repeat,Repeat,incongruent,easy,left
cp_taskswitch_asym,A,94,mov,Repeat,Switch,incongruent,easy,right
cp_taskswitch_asym,A,95,or,Switch,Switch,incongruent,hard,left
