block_id,condition,sequence_id,trial_index,task,task_transition,response_transition,congruency,target_coh_level,target_dir
cp_taskswitch_asym,A,42,0,or,First,First,congruent,hard,left
cp_taskswitch_asym,A,42,1,mov,Switch,Switch,incongruent,easy,right
cp_taskswitch_asym,A,42,2,mov,Repeat,Repeat,incongruent,easy,right
cp_taskswitch_asym,A,42,3,mov,Repeat,Switch,congruent,easy,left
cp_taskswitch_asym,A,42,4,mov,Repeat,Switch,congruent,easy,right
cp_taskswitch_asym,A,42,5,or,Switch,Switch,incongruent,hard,left
cp_taskswitch_asym,A,42,6,or,Repeat,Repeat,incongruent,hard,left
cp_taskswitch_asym,A,42,7,or,Repeat,Repeat,incongruent,hard,left
cp_taskswitch_asym,A,42,8,mov,Switch,Switch,incongruent,easy,right
cp_taskswitch_asym,A,42,9,mov,Repeat,Repeat,incongruent,easy,right
cp_taskswitch_asym,A,42,10,or,Switch,Switch,congruent,hard,left
cp_taskswitch_asym,A,42,11,or,Repeat,Repeat,congruent,hard,left
cp_taskswitch_asym,A,42,12,or,Repeat,Repeat,incongruent,hard,left
cp_taskswitch_asym,A,42,13,mov,Switch,Switch,incongruent,easy,right
cp_taskswitch_asym,A,42,14,or,Switch,Repeat,congruent,hard,right
cp_taskswitch_asym,A,42,15,mov,Switch,Repeat,incongruent,easy,right
cp_taskswitch_asym,A,42,16,mov,Repeat,Switch,congruent,easy,left
cp_taskswitch_asym,A,42,17,mov,Repeat,Switch,incongruent,easy,right
cp_taskswitch_asym,A,42,18,or,Switch,Switch,congruent,hard,left
cp_taskswitch_asym,A,42,19,or,Repeat,Repeat,congruent,hard,left
cp_taskswitch_asym,A,42,20,mov,Switch,Repeat,incongruent,easy,left
cp_taskswitch_asym,A,42,21,or,Switch,Switch,incongruent,hard,right
cp_taskswitch_asym,A,42,22,or,Repeat,Repeat,congruent,hard,right
cp_taskswitch_asym,A,42,23,mov,Switch,Switch,incongruent,easy,left
cp_taskswitch_asym,A,42,24,mov,Repeat,Switch,incongruent,easy,right
cp_taskswitch_asym,A,42,25,or,Switch,Switch,congruent,hard,left
cp_taskswitch_asym,A,42,26,mov,Switch,Repeat,congruent,easy,left
cp_taskswitch_asym,A,42,27,mov,Repeat,Repeat,congruent,easy,left
cp_taskswitch_asym,A,42,28,mov,Repeat,Switch,congruent,easy,right
cp_taskswitch_asym,A,42,29,or,Switch,Switch,incongruent,hard,left
cp_taskswitch_asym,A,42,30,mov,Switch,Repeat,congruent,easy,left
cp_taskswitch_asym,A,42,31,or,Switch,Repeat,congruent,hard,left
cp_taskswitch_asym,A,42,32,or,Repeat,Switch,congruent,hard,right
cp_taskswitch_asym,A,42,33,mov,Switch,Repeat,incongruent,easy,right
cp_taskswitch_asym,A,42,34,mov,Repeat,Switch,incongruent,easy,left
cp_taskswitch_asym,A,42,35,mov,Repeat,Repeat,incongruent,easy,left
cp_taskswitch_asym,A,42,36,mov,Repeat,Switch,congruent,easy,right
cp_taskswitch_asym,A,42,37,or,Switch,Repeat,congruent,hard,right
cp_taskswitch_asym,A,42,38,or,Repeat,Switch,incongruent,hard,left
cp_taskswitch_asym,A,42,39,or,Repeat,Switch,incongruent,hard,right
cp_taskswitch_asym,A,42,40,or,Repeat,Repeat,congruent,hard,right
cp_taskswitch_asym,A,42,41,mov,Switch,Switch,congruent,easy,left
cp_taskswitch_asym,A,42,42,or,Switch,Switch,congruent,hard,right
cp_taskswitch_asym,A,42,43,or,Repeat,Repeat,congruent,hard,right
cp_taskswitch_asym,A,42,44,mov,Switch,Repeat,congruent,easy,right
cp_taskswitch_asym,A,42,45,or,Switch,Repeat,incongruent,hard,right
cp_taskswitch_asym,A,42,46,mov,Switch,Switch,congruent,easy,left
cp_taskswitch_asym,A,42,47,mov,Repeat,Switch,congruent,easy,right
cp_taskswitch_asym,A,42,48,or,Switch,Repeat,congruent,hard,right
cp_taskswitch_asym,A,42,49,mov,Switch,Switch,congruent,easy,left
