block_id,condition,trial_index,task,task_transition,response_transition,congruency,target_coh_level,target_dir
cp_taskswitch_asym,B,0,mov,First,First,congruent,hard,left
cp_taskswitch_asym,B,1,or,Switch,Repeat,incongruent,easy,left
cp_taskswitch_asym,B,2,mov,Switch,Switch,congruent,hard,right
cp_taskswitch_asym,B,3,or,Switch,Switch,congruent,easy,left
cp_taskswitch_asym,B,4,or,Repeat,Repeat,congruent,easy,left
cp_taskswitch_asym,B,5,or,Repeat,Repeat,congruent,easy,left
cp_taskswitch_asym,B,6,or,Repeat,Repeat,congruent,easy,left
cp_taskswitch_asym,B,7,mov,Switch,Switch,congruent,hard,right
cp_taskswitch_asym,B,8,mov,Repeat,Repeat,incongruent,hard,right
cp_taskswitch_asym,B,9,or,Switch,Repeat,congruent,easy,right
cp_taskswitch_asym,B,10,mov,Switch,Repeat,congruent,hard,right
cp_taskswitch_asym,B,11,mov,Repeat,Switch,incongruent,hard,left
cp_taskswitch_asym,B,12,mov,Repeat,Switch,incongruent,hard,right
cp_taskswitch_asym,B,13,or,Switch,Repeat,incongruent,easy,right
cp_taskswitch_asym,B,14,or,Repeat,Switch,congruent,easy,left
cp_taskswitch_asym,B,15,mov,Switch,Repeat,incongruent,hard,left
cp_taskswitch_asym,B,16,mov,Repeat,Repeat,incongruent,hard,left
cp_taskswitch_asym,B,17,or,Switch,Switch,congruent,easy,right
cp_taskswitch_asym,B,18,mov,Switch,Repeat,congruent,hard,right
cp_taskswitch_asym,B,19,mov,Repeat,Repeat,incongruent,hard,right
cp_taskswitch_asym,B,20,mov,Repeat,Switch,incongruent,hard,left
cp_taskswitch_asym,B,21,mov,Repeat,Repeat,incongruent,hard,left
cp_taskswitch_asym,B,22,or,Switch,Repeat,congruent,easy,left
cp_taskswitch_asym,B,23,or,Repeat,Switch,congruent,easy,right
cp_taskswitch_asym,B,24,mov,Switch,Switch,incongruent,hard,left
cp_taskswitch_asym,B,25,or,Switch,Repeat,incongruent,easy,left
cp_taskswitch_asym,B,26,mov,Switch,Repeat,incongruent,hard,left
cp_taskswitch_asym,B,27,mov,Repeat,Switch,congruent,hard,right
cp_taskswitch_asym,B,28,or,Switch,Switch,congruent,easy,left
cp_taskswitch_asym,B,29,or,Repeat,Repeat,congruent,easy,left
cp_taskswitch_asym,B,30,or,Repeat,Switch,incongruent,easy,right
