block_id,condition,sequence_id,trial_index,task,task_transition,response_transition,congruency,target_coh_level,target_dir
cp_taskswitch_asym,B,46,0,or,First,First,congruent,easy,left
cp_taskswitch_asym,B,46,1,or,Repeat,Switch,congruent,easy,right
cp_taskswitch_asym,B,46,2,mov,Switch,Switch,incongruent,hard,left
cp_taskswitch_asym,B,46,3,or,Switch,Repeat,congruent,easy,left
cp_taskswitch_asym,B,46,4,or,Repeat,Repeat,incongruent,easy,left
cp_taskswitch_asym,B,46,5,mov,Switch,Repeat,congruent,hard,left
cp_taskswitch_asym,B,46,6,or,Switch,Switch,congruent,easy,right
cp_taskswitch_asym,B,46,7,or,Repeat,Repeat,congruent,easy,right
cp_taskswitch_asym,B,46,8,or,Repeat,Repeat,congruent,easy,right
cp_taskswitch_asym,B,46,9,mov,Switch,Repeat,incongruent,hard,right
cp_taskswitch_asym,B,46,10,mov,Repeat,Switch,congruent,hard,left
cp_taskswitch_asym,B,46,11,mov,Repeat,Switch,congruent,hard,right
cp_taskswitch_asym,B,46,12,mov,Repeat,Repeat,incongruent,hard,right
cp_taskswitch_asym,B,46,13,or,Switch,Repeat,congruent,easy,right
cp_taskswitch_asym,B,46,14,mov,Switch,Repeat,incongruent,hard,right
cp_taskswitch_asym,B,46,15,or,Switch,Switch,congruent,easy,left
cp_taskswitch_asym,B,46,16,or,Repeat,Switch,congruent,easy,right
cp_taskswitch_asym,B,46,17,or,Repeat,Switch,congruent,easy,left
cp_taskswitch_asym,B,46,18,mov,Switch,Repeat,incongruent,hard,left
cp_taskswitch_asym,B,46,19,or,Switch,Repeat,congruent,easy,left
cp_taskswitch_asym,B,46,20,or,Repeat,Repeat,incongruent,easy,left
cp_taskswitch_asym,B,46,21,or,Repeat,Switch,incongruent,easy,right
cp_taskswitch_asym,B,46,22,or,Repeat,Switch,incongruent,easy,left
cp_taskswitch_asym,B,46,23,mov,Switch,Repeat,congruent,hard,left
cp_taskswitch_asym,B,46,24,or,Switch,Switch,incongruent,easy,right
cp_taskswitch_asym,B,46,25,or,Repeat,Switch,incongruent,easy,left
cp_taskswitch_asym,B,46,26,or,Repeat,Repeat,congruent,easy,left
cp_taskswitch_asym,B,46,27,mov,Switch,Repeat,incongruent,hard,left
cp_taskswitch_asym,B,46,28,or,Switch,Switch,congruent,easy,right
cp_taskswitch_asym,B,46,29,or,Repeat,Switch,incongruent,easy,left
cp_taskswitch_asym,B,46,30,mov,Switch,Repeat,incongruent,hard,left
cp_taskswitch_asym,B,46,31,or,Switch,Repeat,incongruent,easy,left
cp_taskswitch_asym,B,46,32,or,Repeat,Repeat,congruent,easy,left
cp_taskswitch_asym,B,46,33,mov,Switch,Switch,congruent,hard,right
cp_taskswitch_asym,B,46,34,mov,Repeat,Repeat,incongruent,hard,right
cp_taskswitch_asym,B,46,35,or,Switch,Switch,incongruent,easy,left
cp_taskswitch_asym,B,46,36,or,Repeat,Repeat,incongruent,easy,left
cp_taskswitch_asym,B,46,37,or,Repeat,Switch,incongruent,easy,right
cp_taskswitch_asym,B,46,38,mov,Switch,Switch,incongruent,hard,left
cp_taskswitch_asym,B,46,39,mov,Repeat,Repeat,incongruent,hard,left
cp_taskswitch_asym,B,46,40,or,Switch,Repeat,incongruent,easy,left
cp_taskswitch_asym,B,46,41,mov,Switch,Switch,congruent,hard,right
cp_taskswitch_asym,B,46,42,mov,Repeat,Repeat,congruent,hard,right
cp_taskswitch_asym,B,46,43,mov,Repeat,Repeat,incongruent,hard,right
cp_taskswitch_asym,B,46,44,mov,Repeat,Switch,incongruent,hard,left
cp_taskswitch_asym,B,46,45,or,Switch,Switch,congruent,easy,right
cp_taskswitch_asym,B,46,46,mov,Switch,Switch,congruent,hard,left
cp_taskswitch_asym,B,46,47,mov,Repeat,Repeat,congruent,hard,left
cp_taskswitch_asym,B,46,48,or,Switch,Repeat,congruent,easy,left
cp_taskswitch_asym,B,46,49,mov,Switch,Repeat,congruent,hard,left
cp_taskswitch_asym,B,46,50,mov,Repeat,Switch,congruent,hard,right
cp_taskswitch_asym,B,46,51,mov,Repeat,Repeat,congruent,hard,right
cp_taskswitch_asym,B,46,52,or,Switch,Repeat,incongruent,easy,right
cp_taskswitch_asym,B,46,53,mov,Switch,Switch,incongruent,hard,left
cp_taskswitch_asym,B,46,54,or,Switch,Switch,congruent,easy,right
cp_taskswitch_asym,B,46,55,or,Repeat,Switch,incongruent,easy,left
cp_taskswitch_asym,B,46,56,mov,Switch,Repeat,congruent,hard,left
cp_taskswitch_asym,B,46,57,or,Switch,Switch,congruent,easy,right
cp_taskswitch_asym,B,46,58,or,Repeat,Repeat,incongruent,easy,right
cp_taskswitch_asym,B,46,59,mov,Switch,Switch,incongruent,hard,left
cp_taskswitch_asym,B,46,60,mov,Repeat,Switch,incongruent,hard,right
cp_taskswitch_asym,B,46,61,mov,Repeat,Switch,incongruent,hard,left
cp_taskswitch_asym,B,46,62,or,Switch,Repeat,incongruent,easy,left
cp_taskswitch_asym,B,46,63,or,Repeat,Switch,congruent,easy,right
cp_taskswitch_asym,B,46,64,mov,Switch,Repeat,congruent,hard,right
cp_taskswitch_asym,B,46,65,mov,Repeat,Switch,congruent,hard,left
cp_taskswitch_asym,B,46,66,mov,Repeat,Switch,congruent,hard,right
cp_taskswitch_asym,B,46,67,or,Switch,Switch,congruent,easy,left
cp_taskswitch_asym,B,46,68,or,Repeat,Repeat,congruent,easy,left
cp_taskswitch_asym,B,46,69,or,Repeat,Switch,incongruent,easy,right
cp_taskswitch_asym,B,46,70,mov,Switch,Repeat,congruent,hard,right
cp_taskswitch_asym,B,46,71,or,Switch,Repeat,incongruent,easy,right
cp_taskswitch_asym,B,46,72,mov,Switch,Switch,incongruent,hard,left
cp_taskswitch_asym,B,46,73,mov,Repeat,Switch,incongruent,hard,right
cp_taskswitch_asym,B,46,74,mov,Repeat,Repeat,incongruent,hard,right
cp_taskswitch_asym,B,46,75,or,Switch,Switch,incongruent,easy,left
cp_taskswitch_asym,B,46,76,mov,Switch,Switch,congruent,hard,right
cp_taskswitch_asym,B,46,77,or,Switch,Repeat,congruent,easy,right
cp_taskswitch_asym,B,46,78,or,Repeat,Repeat,congruent,easy,right
cp_taskswitch_asym,B,46,79,or,Repeat,Switch,congruent,easy,left
cp_taskswitch_asym,B,46,80,mov,Switch,Switch,incongruent,hard,right
cp_taskswitch_asym,B,46,81,mov,Repeat,Switch,congruent,hard,left
cp_taskswitch_asym,B,46,82,mov,Repeat,Repeat,congruent,hard,left
cp_taskswitch_asym,B,46,83,or,Switch,Switch,congruent,easy,right
cp_taskswitch_asym,B,46,84,mov,Switch,Switch,incongruent,hard,left
cp_taskswitch_asym,B,46,85,mov,Repeat,Switch,incongruent,hard,right
cp_taskswitch_asym,B,46,86,or,Switch,Repeat,incongruent,easy,right
cp_taskswitch_asym,B,46,87,or,Repeat,Switch,congruent,easy,left
cp_taskswitch_asym,B,46,88,mov,Switch,Switch,incongruent,hard,right
cp_taskswitch_asym,B,46,89,mov,Repeat,Repeat,congruent,hard,right
cp_taskswitch_asym,B,46,90,mov,Repeat,Repeat,incongruent,hard,right
cp_taskswitch_asym,B,46,91,mov,Repeat,Repeat,incongruent,hard,right
cp_taskswitch_asym,B,46,92,or,Switch,Switch,incongruent,easy,left
cp_taskswitch_asym,B,46,93,or,Repeat,Repeat,incongruent,easy,left
cp_taskswitch_asym,B,46,94,mov,Switch,Repeat,incongruent,hard,left
cp_taskswitch_asym,B,46,95,or,Switch,Repeat,congruent,easy,left
