block_id,condition,sequence_id,trial_index,task,hand,soa_level,congruency,target_dir
cp_prp,A,22,0,mov,left,300,congruent,left
cp_prp,A,22,1,mov,left,100,incongruent,right
cp_prp,A,22,2,mov,left,300,congruent,left
cp_prp,A,22,3,mov,left,300,incongruent,left
cp_prp,A,22,4,mov,left,600,incongruent,left
cp_prp,A,22,5,mov,left,100,congruent,right
cp_prp,A,22,6,mov,left,600,incongruent,right
cp_prp,A,22,7,mov,left,100,congruent,left
cp_prp,A,22,8,mov,left,600,congruent,right
cp_prp,A,22,9,mov,left,100,incongruent,left
cp_prp,A,22,10,mov,left,300,incongruent,left
cp_prp,A,22,11,mov,left,600,congruent,left
cp_prp,A,22,12,mov,left,300,congruent,left
cp_prp,A,22,13,mov,left,100,congruent,left
cp_prp,A,22,14,mov,left,600,incongruent,right
cp_prp,A,22,15,mov,left,100,incongruent,left
cp_prp,A,22,16,mov,left,300,incongruent,right
cp_prp,A,22,17,mov,left,100,incongruent,left
cp_prp,A,22,18,mov,left,600,incongruent,right
cp_prp,A,22,19,mov,left,600,congruent,right
cp_prp,A,22,20,mov,left,600,congruent,right
cp_prp,A,22,21,mov,left,300,congruent,right
cp_prp,A,22,22,mov,left,100,incongruent,right
cp_prp,A,22,23,mov,left,300,incongruent,right
cp_prp,A,22,24,mov,left,100,congruent,right
cp_prp,A,22,25,mov,left,300,congruent,left
cp_prp,A,22,26,mov,left,100,incongruent,right
cp_prp,A,22,27,mov,left,100,incongruent,right
cp_prp,A,22,28,mov,left,600,congruent,left
cp_prp,A,22,29,mov,left,300,congruent,left
cp_prp,A,22,30,mov,left,600,incongruent,left
cp_prp,A,22,31,mov,left,100,incongruent,left
cp_prp,A,22,32,mov,left,100,incongruent,left
cp_prp,A,22,33,mov,left,100,incongruent,right
cp_prp,A,22,34,mov,left,300,congruent,left
cp_prp,A,22,35,mov,left,300,incongruent,left
cp_prp,A,22,36,mov,left,600,incongruent,left
cp_prp,A,22,37,mov,left,300,incongruent,right
cp_prp,A,22,38,mov,left,300,incongruent,left
cp_prp,A,22,39,mov,left,100,congruent,left
cp_prp,A,22,40,mov,left,300,congruent,right
cp_prp,A,22,41,mov,left,600,incongruent,right
cp_prp,A,22,42,mov,left,100,incongruent,left
cp_prp,A,22,43,mov,left,300,incongruent,right
cp_prp,A,22,44,mov,left,100,congruent,right
cp_prp,A,22,45,mov,left,300,congruent,right
cp_prp,A,22,46,mov,left,600,incongruent,right
cp_prp,A,22,47,mov,left,600,incongruent,left
cp_prp,A,22,48,mov,left,600,congruent,right
cp_prp,A,22,49,mov,left,300,congruent,left
cp_prp,A,22,50,mov,left,600,incongruent,right
cp_prp,A,22,51,mov,left,300,incongruent,right
cp_prp,A,22,52,mov,left,600,incongruent,left
cp_prp,A,22,53,mov,left,100,incongruent,right
cp_prp,A,22,54,mov,left,600,congruent,left
cp_prp,A,22,55,mov,left,100,incongruent,right
cp_prp,A,22,56,mov,left,100,congruent,right
cp_prp,A,22,57,mov,left,300,incongruent,right
cp_prp,A,22,58,mov,left,300,incongruent,left
cp_prp,A,22,59,mov,left,300,incongruent,right
cp_prp,A,22,60,mov,left,100,congruent,left
cp_prp,A,22,61,mov,left,300,congruent,right
cp_prp,A,22,62,mov,left,600,incongruent,left
cp_prp,A,22,63,mov,left,300,incongruent,left
cp_prp,A,22,64,mov,left,100,congruent,right
cp_prp,A,22,65,mov,left,300,congruent,right
cp_prp,A,22,66,mov,left,600,congruent,left
cp_prp,A,22,67,mov,left,300,congruent,left
cp_prp,A,22,68,mov,left,600,incongruent,left
cp_prp,A,22,69,mov,left,300,incongruent,right
cp_prp,A,22,70,mov,left,300,incongruent,left
cp_prp,A,22,71,mov,left,100,congruent,left
cp_prp,A,22,72,mov,left,600,congruent,right
cp_prp,A,22,73,mov,left,600,congruent,left
cp_prp,A,22,74,mov,left,100,congruent,right
cp_prp,A,22,75,mov,left,100,congruent,right
cp_prp,A,22,76,mov,left,100,incongruent,left
cp_prp,A,22,77,mov,left,100,congruent,left
cp_prp,A,22,78,mov,left,600,incongruent,right
cp_prp,A,22,79,mov,left,100,incongruent,left
cp_prp,A,22,80,mov,left,600,congruent,right
cp_prp,A,22,81,mov,left,300,congruent,right
cp_prp,A,22,82,mov,left,600,congruent,left
cp_prp,A,22,83,mov,left,100,congruent,right
cp_prp,A,22,84,mov,left,100,incongruent,right
cp_prp,A,22,85,mov,left,300,congruent,right
cp_prp,A,22,86,mov,left,600,congruent,left
cp_prp,A,22,87,mov,left,100,congruent,left
cp_prp,A,22,88,mov,left,300,incongruent,left
cp_prp,A,22,89,mov,left,600,congruent,right
cp_prp,A,22,90,mov,left,100,congruent,left
cp_prp,A,22,91,mov,left,600,congruent,left
cp_prp,A,22,92,mov,left,600,congruent,right
cp_prp,A,22,93,mov,left,600,incongruent,left
cp_prp,A,22,94,mov,left,600,incongruent,right
cp_prp,A,22,95,mov,left,300,congruent,right
