block_id,condition,sequence_id,trial_index,task,hand,soa_level,congruency,target_dir
cp_prp,B,30,0,or,right,600,congruent,left
cp_prp,B,30,1,or,right,300,congruent,right
cp_prp,B,30,2,or,right,600,congruent,right
cp_prp,B,30,3,or,right,600,congruent,right
cp_prp,B,30,4,or,right,300,incongruent,left
cp_prp,B,30,5,or,right,300,congruent,left
cp_prp,B,30,6,or,right,600,congruent,right
cp_prp,B,30,7,or,right,300,incongruent,right
cp_prp,B,30,8,or,right,300,congruent,right
cp_prp,B,30,9,or,right,100,congruent,left
cp_prp,B,30,10,or,right,600,incongruent,left
cp_prp,B,30,11,or,right,300,incongruent,right
cp_prp,B,30,12,or,right,600,congruent,left
cp_prp,B,30,13,or,right,100,incongruent,right
cp_prp,B,30,14,or,right,600,incongruent,right
cp_prp,B,30,15,or,right,100,incongruent,left
cp_prp,B,30,16,or,right,600,incongruent,right
cp_prp,B,30,17,or,right,100,congruent,left
cp_prp,B,30,18,or,right,100,incongruent,right
cp_prp,B,30,19,or,right,300,congruent,right
cp_prp,B,30,20,or,right,300,incongruent,left
cp_prp,B,30,21,or,right,300,congruent,left
cp_prp,B,30,22,or,right,300,congruent,left
cp_prp,B,30,23,or,right,100,incongruent,left
cp_prp,B,30,24,or,right,100,congruent,right
cp_prp,B,30,25,or,right,100,incongruent,right
cp_prp,B,30,26,or,right,300,congruent,left
cp_prp,B,30,27,or,right,300,congruent,left
cp_prp,B,30,28,or,right,600,congruent,left
cp_prp,B,30,29,or,right,100,incongruent,right
cp_prp,B,30,30,or,right,600,incongruent,left
cp_prp,B,30,31,or,right,100,incongruent,left
cp_prp,B,30,32,or,right,300,congruent,left
cp_prp,B,30,33,or,right,100,congruent,left
cp_prp,B,30,34,or,right,100,congruent,right
cp_prp,B,30,35,or,right,600,incongruent,left
cp_prp,B,30,36,or,right,300,congruent,right
cp_prp,B,30,37,or,right,300,incongruent,left
cp_prp,B,30,38,or,right,600,congruent,right
cp_prp,B,30,39,or,right,100,incongruent,left
cp_prp,B,30,40,or,right,600,incongruent,right
cp_prp,B,30,41,or,right,600,incongruent,right
cp_prp,B,30,42,or,right,600,incongruent,right
cp_prp,B,30,43,or,right,300,incongruent,right
cp_prp,B,30,44,or,right,600,congruent,left
cp_prp,B,30,45,or,right,100,incongruent,right
cp_prp,B,30,46,or,right,600,incongruent,left
cp_prp,B,30,47,or,right,600,congruent,right
cp_prp,B,30,48,or,right,600,incongruent,right
cp_prp,B,30,49,or,right,300,incongruent,right
cp_prp,B,30,50,or,right,100,incongruent,right
cp_prp,B,30,51,or,right,300,congruent,right
cp_prp,B,30,52,or,right,100,congruent,right
cp_prp,B,30,53,or,right,600,congruent,left
cp_prp,B,30,54,or,right,600,congruent,right
cp_prp,B,30,55,or,right,100,incongruent,left
cp_prp,B,30,56,or,right,100,congruent,left
cp_prp,B,30,57,or,right,300,incongruent,left
cp_prp,B,30,58,or,right,300,congruent,left
cp_prp,B,30,59,or,right,300,incongruent,right
cp_prp,B,30,60,or,right,100,congruent,right
cp_prp,B,30,61,or,right,600,incongruent,left
cp_prp,B,30,62,or,right,600,incongruent,right
cp_prp,B,30,63,or,right,600,incongruent,left
cp_prp,B,30,64,or,right,600,congruent,left
cp_prp,B,30,65,or,right,100,congruent,left
cp_prp,B,30,66,or,right,600,congruent,right
cp_prp,B,30,67,or,right,300,congruent,right
cp_prp,B,30,68,or,right,600,incongruent,left
cp_prp,B,30,69,or,right,300,congruent,left
cp_prp,B,30,70,or,right,600,congruent,right
cp_prp,B,30,71,or,right,300,incongruent,left
cp_prp,B,30,72,or,right,300,incongruent,left
cp_prp,B,30,73,or,right,600,incongruent,right
cp_prp,B,30,74,or,right,600,incongruent,left
cp_prp,B,30,75,or,right,300,incongruent,right
cp_prp,B,30,76,or,right,600,congruent,left
cp_prp,B,30,77,or,right,100,congruent,right
cp_prp,B,30,78,or,right,100,congruent,right
cp_prp,B,30,79,or,right,100,incongruent,left
cp_prp,B,30,80,or,right,100,congruent,right
cp_prp,B,30,81,or,right,100,congruent,left
cp_prp,B,30,82,or,right,100,congruent,right
cp_prp,B,30,83,or,right,300,congruent,right
cp_prp,B,30,84,or,right,300,incongruent,left
cp_prp,B,30,85,or,right,100,incongruent,right
cp_prp,B,30,86,or,right,300,incongruent,right
cp_prp,B,30,87,or,right,100,incongruent,left
cp_prp,B,30,88,or,right,100,congruent,left
cp_prp,B,30,89,or,right,100,incongruent,right
cp_prp,B,30,90,or,right,300,incongruent,right
cp_prp,B,30,91,or,right,100,congruent,left
cp_prp,B,30,92,or,right,300,incongruent,left
cp_prp,B,30,93,or,right,300,congruent,right
cp_prp,B,30,94,or,right,600,congruent,left
cp_prp,B,30,95,or,right,100,incongruent,left
