block_id,condition,sequence_id,trial_index,task,hand,congruency,target_dir,response_transition
cp_stroop,A,17,0,mov,right,incongruent,right,First
cp_stroop,A,17,1,mov,left,congruent,right,Repeat
cp_stroop,A,17,2,mov,right,congruent,left,Switch
cp_stroop,A,17,3,mov,right,incongruent,left,Repeat
cp_stroop,A,17,4,mov,left,incongruent,left,Repeat
cp_stroop,A,17,5,mov,left,congruent,right,Switch
cp_stroop,A,17,6,mov,right,congruent,left,Switch
cp_stroop,A,17,7,mov,right,incongruent,left,Repeat
cp_stroop,A,17,8,mov,left,incongruent,left,Repeat
cp_stroop,A,17,9,mov,left,congruent,right,Switch
cp_stroop,A,17,10,mov,right,congruent,left,Switch
cp_stroop,A,17,11,mov,left,congruent,left,Repeat
cp_stroop,A,17,12,mov,right,incongruent,left,Repeat
cp_stroop,A,17,13,mov,left,incongruent,left,Repeat
cp_stroop,A,17,14,mov,right,congruent,right,Switch
cp_stroop,A,17,15,mov,left,incongruent,left,Switch
cp_stroop,A,17,16,mov,right,incongruent,right,Switch
cp_stroop,A,17,17,mov,left,incongruent,right,Repeat
cp_stroop,A,17,18,mov,right,congruent,left,Switch
cp_stroop,A,17,19,mov,left,incongruent,left,Repeat
cp_stroop,A,17,20,mov,left,incongruent,right,Switch
cp_stroop,A,17,21,mov,left,congruent,left,Switch
cp_stroop,A,17,22,mov,right,congruent,left,Repeat
cp_stroop,A,17,23,mov,right,congruent,right,Switch
cp_stroop,A,17,24,mov,left,congruent,left,Switch
cp_stroop,A,17,25,mov,left,incongruent,right,Switch
cp_stroop,A,17,26,mov,right,incongruent,right,Repeat
cp_stroop,A,17,27,mov,left,congruent,left,Switch
cp_stroop,A,17,28,mov,right,incongruent,left,Repeat
cp_stroop,A,17,29,mov,right,congruent,right,Switch
cp_stroop,A,17,30,mov,left,congruent,right,Repeat
cp_stroop,A,17,31,mov,left,congruent,left,Switch
cp_stroop,A,17,32,mov,left,incongruent,left,Repeat
cp_stroop,A,17,33,mov,right,congruent,right,Switch
cp_stroop,A,17,34,mov,left,congruent,right,Repeat
cp_stroop,A,17,35,mov,right,incongruent,right,Repeat
cp_stroop,A,17,36,mov,right,congruent,right,Repeat
cp_stroop,A,17,37,mov,right,incongruent,left,Switch
cp_stroop,A,17,38,mov,left,incongruent,right,Switch
cp_stroop,A,17,39,mov,left,congruent,right,Repeat
cp_stroop,A,17,40,mov,right,incongruent,left,Switch
cp_stroop,A,17,41,mov,right,incongruent,right,Switch
cp_stroop,A,17,42,mov,right,congruent,left,Switch
cp_stroop,A,17,43,mov,left,congruent,left,Repeat
cp_stroop,A,17,44,mov,right,incongruent,left,Repeat
cp_stroop,A,17,45,mov,left,incongruent,left,Repeat
cp_stroop,A,17,46,mov,left,congruent,right,Switch
cp_stroop,A,17,47,mov,right,incongruent,right,Repeat
cp_stroop,A,17,48,mov,left,congruent,left,Switch
cp_stroop,A,17,49,mov,left,incongruent,right,Switch
cp_stroop,A,17,50,mov,right,congruent,left,Switch
cp_stroop,A,17,51,mov,left,incongruent,left,Repeat
cp_stroop,A,17,52,mov,right,congruent,right,Switch
cp_stroop,A,17,53,mov,right,incongruent,right,Repeat
cp_stroop,A,17,54,mov,right,incongruent,right,Repeat
cp_stroop,A,17,55,mov,left,incongruent,left,Switch
cp_stroop,A,17,56,mov,right,incongruent,left,Repeat
cp_stroop,A,17,57,mov,left,incongruent,right,Switch
cp_stroop,A,17,58,mov,left,congruent,right,Repeat
cp_stroop,A,17,59,mov,left,congruent,left,Switch
cp_stroop,A,17,60,mov,right,congruent,right,Switch
cp_stroop,A,17,61,mov,right,congruent,right,Repeat
cp_stroop,A,17,62,mov,right,incongruent,right,Repeat
cp_stroop,A,17,63,mov,left,incongruent,left,Switch
cp_stroop,A,17,64,mov,right,congruent,right,Switch
cp_stroop,A,17,65,mov,left,incongruent,right,Repeat
cp_stroop,A,17,66,mov,right,congruent,left,Switch
cp_stroop,A,17,67,mov,right,congruent,right,Switch
cp_stroop,A,17,68,mov,right,congruent,right,Repeat
cp_stroop,A,17,69,mov,left,incongruent,left,Switch
cp_stroop,A,17,70,mov,right,congruent,left,Repeat
cp_stroop,A,17,71,mov,left,incongruent,right,Switch
cp_stroop,A,17,72,mov,left,incongruent,right,Repeat
cp_stroop,A,17,73,mov,left,congruent,right,Repeat
cp_stroop,A,17,74,mov,right,incongruent,left,Switch
cp_stroop,A,17,75,mov,left,congruent,left,Repeat
cp_stroop,A,17,76,mov,left,congruent,right,Switch
cp_stroop,A,17,77,mov,right,incongruent,right,Repeat
cp_stroop,A,17,78,mov,left,congruent,right,Repeat
cp_stroop,A,17,79,mov,left,congruent,left,Switch
cp_stroop,A,17,80,mov,right,incongruent,left,Repeat
cp_stroop,A,17,81,mov,left,incongruent,right,Switch
cp_stroop,A,17,82,mov,left,incongruent,left,Switch
cp_stroop,A,17,83,mov,right,incongruent,right,Switch
cp_stroop,A,17,84,mov,left,incongruent,right,Repeat
cp_stroop,A,17,85,mov,left,incongruent,right,Repeat
cp_stroop,A,17,86,mov,right,congruent,left,Switch
cp_stroop,A,17,87,mov,right,congruent,right,Switch
cp_stroop,A,17,88,mov,right,incongruent,right,Repeat
cp_stroop,A,17,89,mov,left,congruent,left,Switch
cp_stroop,A,17,90,mov,right,congruent,left,Repeat
cp_stroop,A,17,91,mov,left,congruent,left,Repeat
cp_stroop,A,17,92,mov,left,congruent,right,Switch
cp_stroop,A,17,93,mov,right,incongruent,left,Switch
cp_stroop,A,17,94,mov,right,congruent,left,Repeat
cp_stroop,A,17,95,mov,right,incongruent,left,Repeat
