block_id,condition,sequence_id,trial_index,task,hand,congruency,target_dir,response_transition
cp_stroop,B,43,0,or,right,congruent,right,First
cp_stroop,B,43,1,or,right,congruent,left,Switch
cp_stroop,B,43,2,or,right,congruent,left,Repeat
cp_stroop,B,43,3,or,left,congruent,left,Repeat
cp_stroop,B,43,4,or,left,incongruent,right,Switch
cp_stroop,B,43,5,or,right,incongruent,right,Repeat
cp_stroop,B,43,6,or,left,incongruent,right,Repeat
cp_stroop,B,43,7,or,left,congruent,left,Switch
cp_stroop,B,43,8,or,right,incongruent,left,Repeat
cp_stroop,B,43,9,or,left,incongruent,right,Switch
cp_stroop,B,43,10,or,left,incongruent,right,Repeat
cp_stroop,B,43,11,or,right,incongruent,right,Repeat
cp_stroop,B,43,12,or,right,incongruent,left,Switch
cp_stroop,B,43,13,or,left,congruent,left,Repeat
cp_stroop,B,43,14,or,right,congruent,right,Switch
cp_stroop,B,43,15,or,right,incongruent,left,Switch
cp_stroop,B,43,16,or,left,incongruent,left,Repeat
cp_stroop,B,43,17,or,left,incongruent,left,Repeat
cp_stroop,B,43,18,or,right,congruent,left,Repeat
cp_stroop,B,43,19,or,left,incongruent,right,Switch
cp_stroop,B,43,20,or,left,incongruent,right,Repeat
cp_stroop,B,43,21,or,left,congruent,left,Switch
cp_stroop,B,43,22,or,right,incongruent,left,Repeat
cp_stroop,B,43,23,or,left,congruent,left,Repeat
cp_stroop,B,43,24,or,left,incongruent,left,Repeat
cp_stroop,B,43,25,or,left,congruent,right,Switch
cp_stroop,B,43,26,or,right,congruent,left,Switch
cp_stroop,B,43,27,or,right,incongruent,left,Repeat
cp_stroop,B,43,28,or,right,incongruent,right,Switch
cp_stroop,B,43,29,or,left,congruent,left,Switch
cp_stroop,B,43,30,or,right,congruent,right,Switch
cp_stroop,B,43,31,or,right,incongruent,right,Repeat
cp_stroop,B,43,32,or,right,congruent,right,Repeat
cp_stroop,B,43,33,or,left,congruent,right,Repeat
cp_stroop,B,43,34,or,right,congruent,left,Switch
cp_stroop,B,43,35,or,left,congruent,right,Switch
cp_stroop,B,43,36,or,right,incongruent,right,Repeat
cp_stroop,B,43,37,or,left,congruent,left,Switch
cp_stroop,B,43,38,or,left,congruent,right,Switch
cp_stroop,B,43,39,or,left,congruent,right,Repeat
cp_stroop,B,43,40,or,right,congruent,right,Repeat
cp_stroop,B,43,41,or,left,incongruent,right,Repeat
cp_stroop,B,43,42,or,right,congruent,left,Switch
cp_stroop,B,43,43,or,right,incongruent,left,Repeat
cp_stroop,B,43,44,or,left,incongruent,right,Switch
cp_stroop,B,43,45,or,left,congruent,left,Switch
cp_stroop,B,43,46,or,right,incongruent,left,Repeat
cp_stroop,B,43,47,or,right,congruent,right,Switch
cp_stroop,B,43,48,or,right,incongruent,right,Repeat
cp_stroop,B,43,49,or,left,congruent,right,Repeat
cp_stroop,B,43,50,or,left,incongruent,left,Switch
cp_stroop,B,43,51,or,right,incongruent,right,Switch
cp_stroop,B,43,52,or,left,incongruent,left,Switch
cp_stroop,B,43,53,or,left,congruent,left,Repeat
cp_stroop,B,43,54,or,left,incongruent,left,Repeat
cp_stroop,B,43,55,or,right,congruent,right,Switch
cp_stroop,B,43,56,or,right,incongruent,right,Repeat
cp_stroop,B,43,57,or,left,congruent,right,Repeat
cp_stroop,B,43,58,or,right,congruent,left,Switch
cp_stroop,B,43,59,or,right,incongruent,left,Repeat
cp_stroop,B,43,60,or,right,incongruent,right,Switch
cp_stroop,B,43,61,or,left,congruent,left,Switch
cp_stroop,B,43,62,or,left,incongruent,left,Repeat
cp_stroop,B,43,63,or,right,incongruent,right,Switch
cp_stroop,B,43,64,or,left,incongruent,left,Switch
cp_stroop,B,43,65,or,right,incongruent,right,Switch
cp_stroop,B,43,66,or,left,incongruent,right,Repeat
cp_stroop,B,43,67,or,left,congruent,left,Switch
cp_stroop,B,43,68,or,left,incongruent,right,Switch
cp_stroop,B,43,69,or,right,congruent,right,Repeat
cp_stroop,B,43,70,or,left,incongruent,right,Repeat
cp_stroop,B,43,71,or,right,congruent,right,Repeat
cp_stroop,B,43,72,or,right,incongruent,left,Switch
cp_stroop,B,43,73,or,right,congruent,left,Repeat
cp_stroop,B,43,74,or,left,incongruent,left,Repeat
cp_stroop,B,43,75,or,right,incongruent,right,Switch
cp_stroop,B,43,76,or,left,congruent,right,Repeat
cp_stroop,B,43,77,or,left,congruent,right,Repeat
cp_stroop,B,43,78,or,right,congruent,right,Repeat
cp_stroop,B,43,79,or,right,incongruent,left,Switch
cp_stroop,B,43,80,or,left,congruent,right,Switch
cp_stroop,B,43,81,or,right,congruent,left,Switch
cp_stroop,B,43,82,or,right,congruent,left,Repeat
cp_stroop,B,43,83,or,right,incongruent,left,Repeat
cp_stroop,B,43,84,or,left,incongruent,left,Repeat
cp_stroop,B,43,85,or,right,congruent,right,Switch
cp_stroop,B,43,86,or,left,congruent,right,Repeat
cp_stroop,B,43,87,or,right,congruent,right,Repeat
cp_stroop,B,43,88,or,left,incongruent,left,Switch
cp_stroop,B,43,89,or,right,congruent,left,Repeat
cp_stroop,B,43,90,or,right,congruent,left,Repeat
cp_stroop,B,43,91,or,left,congruent,right,Switch
cp_stroop,B,43,92,or,left,incongruent,right,Repeat
cp_stroop,B,43,93,or,left,congruent,left,Switch
cp_stroop,B,43,94,or,right,incongruent,left,Repeat
cp_stroop,B,43,95,or,left,incongruent,left,Repeat
