block_id,condition,sequence_id,trial_index,task,hand,congruency,target_coh_level,distractor_coh_level,target_dir
cp_stroop_crossed,A,36,0,mov,right,incongruent,high,mid,left
cp_stroop_crossed,A,36,1,mov,left,congruent,mid,high,right
cp_stroop_crossed,A,36,2,mov,right,congruent,high,mid,right
cp_stroop_crossed,A,36,3,mov,left,congruent,low,low,right
cp_stroop_crossed,A,36,4,mov,left,incongruent,low,high,left
cp_stroop_crossed,A,36,5,mov,right,incongruent,low,high,right
cp_stroop_crossed,A,36,6,mov,right,congruent,low,low,left
cp_stroop_crossed,A,36,7,mov,left,incongruent,high,high,right
cp_stroop_crossed,A,36,8,mov,left,incongruent,high,low,right
cp_stroop_crossed,A,36,9,mov,left,incongruent,mid,high,right
cp_stroop_crossed,A,36,10,mov,right,congruent,low,high,left
cp_stroop_crossed,A,36,11,mov,left,congruent,high,low,right
cp_stroop_crossed,A,36,12,mov,left,congruent,high,low,left
cp_stroop_crossed,A,36,13,mov,right,congruent,high,mid,left
cp_stroop_crossed,A,36,14,mov,right,congruent,mid,high,left
cp_stroop_crossed,A,36,15,mov,right,incongruent,low,low,left
cp_stroop_crossed,A,36,16,mov,left,congruent,mid,mid,left
cp_stroop_crossed,A,36,17,mov,right,congruent,low,mid,right
cp_stroop_crossed,A,36,18,mov,right,incongruent,high,mid,right
cp_stroop_crossed,A,36,19,mov,left,incongruent,mid,low,left
cp_stroop_crossed,A,36,20,mov,right,incongruent,low,high,left
cp_stroop_crossed,A,36,21,mov,left,incongruent,low,high,right
cp_stroop_crossed,A,36,22,mov,left,incongruent,mid,high,left
cp_stroop_crossed,A,36,23,mov,left,incongruent,low,low,right
cp_stroop_crossed,A,36,24,mov,right,congruent,mid,low,left
cp_stroop_crossed,A,36,25,mov,left,incongruent,low,mid,left
cp_stroop_crossed,A,36,26,mov,left,incongruent,mid,high,right
cp_stroop_crossed,A,36,27,mov,left,incongruent,mid,high,left
cp_stroop_crossed,A,36,28,mov,right,congruent,low,low,right
cp_stroop_crossed,A,36,29,mov,right,congruent,high,high,left
cp_stroop_crossed,A,36,30,mov,left,congruent,high,low,right
cp_stroop_crossed,A,36,31,mov,left,incongruent,low,low,left
cp_stroop_crossed,A,36,32,mov,right,congruent,high,high,left
cp_stroop_crossed,A,36,33,mov,left,congruent,low,mid,left
cp_stroop_crossed,A,36,34,mov,right,congruent,mid,mid,right
cp_stroop_crossed,A,36,35,mov,right,incongruent,high,high,left
cp_stroop_crossed,A,36,36,mov,right,incongruent,high,low,right
cp_stroop_crossed,A,36,37,mov,left,congruent,low,high,right
cp_stroop_crossed,A,36,38,mov,left,incongruent,low,mid,left
cp_stroop_crossed,A,36,39,mov,left,congruent,mid,low,right
cp_stroop_crossed,A,36,40,mov,right,incongruent,high,low,right
cp_stroop_crossed,A,36,41,mov,right,incongruent,high,mid,right
cp_stroop_crossed,A,36,42,mov,left,incongruent,low,mid,right
cp_stroop_crossed,A,36,43,mov,right,incongruent,mid,low,right
cp_stroop_crossed,A,36,44,mov,left,congruent,mid,high,right
cp_stroop_crossed,A,36,45,mov,left,congruent,low,high,left
cp_stroop_crossed,A,36,46,mov,right,incongruent,mid,low,left
cp_stroop_crossed,A,36,47,mov,right,congruent,high,mid,left
cp_stroop_crossed,A,36,48,mov,left,congruent,mid,mid,left
cp_stroop_crossed,A,36,49,mov,right,incongruent,mid,low,right
cp_stroop_crossed,A,36,50,mov,right,incongruent,high,high,right
cp_stroop_crossed,A,36,51,mov,left,incongruent,high,high,left
cp_stroop_crossed,A,36,52,mov,left,incongruent,mid,mid,left
cp_stroop_crossed,A,36,53,mov,left,incongruent,low,high,right
cp_stroop_crossed,A,36,54,mov,right,congruent,mid,high,left
cp_stroop_crossed,A,36,55,mov,left,incongruent,high,high,right
cp_stroop_crossed,A,36,56,mov,right,incongruent,high,mid,left
cp_stroop_crossed,A,36,57,mov,right,incongruent,low,mid,left
cp_stroop_crossed,A,36,58,mov,left,congruent,mid,high,right
cp_stroop_crossed,A,36,59,mov,right,incongruent,mid,low,left
cp_stroop_crossed,A,36,60,mov,left,congruent,high,high,right
cp_stroop_crossed,A,36,61,mov,right,incongruent,mid,mid,right
cp_stroop_crossed,A,36,62,mov,right,congruent,high,mid,right
cp_stroop_crossed,A,36,63,mov,right,congruent,high,mid,right
cp_stroop_crossed,A,36,64,mov,left,incongruent,high,mid,left
cp_stroop_crossed,A,36,65,mov,left,incongruent,mid,high,left
cp_stroop_crossed,A,36,66,mov,right,congruent,high,high,right
cp_stroop_crossed,A,36,67,mov,left,incongruent,mid,mid,left
cp_stroop_crossed,A,36,68,mov,right,congruent,mid,low,right
cp_stroop_crossed,A,36,69,mov,right,incongruent,low,low,right
cp_stroop_crossed,A,36,70,mov,left,congruent,low,low,left
cp_stroop_crossed,A,36,71,mov,right,congruent,mid,low,right
cp_stroop_crossed,A,36,72,mov,right,congruent,mid,low,left
