block_id,condition,sequence_id,trial_index,task,hand,congruency,target_coh_level,distractor_coh_level,target_dir
cp_stroop_crossed,B,48,0,or,left,incongruent,mid,low,left
cp_stroop_crossed,B,48,1,or,right,congruent,high,mid,right
cp_stroop_crossed,B,48,2,or,right,incongruent,high,high,right
cp_stroop_crossed,B,48,3,or,left,congruent,mid,low,left
cp_stroop_crossed,B,48,4,or,left,incongruent,low,high,left
cp_stroop_crossed,B,48,5,or,right,congruent,mid,low,left
cp_stroop_crossed,B,48,6,or,left,congruent,low,high,left
cp_stroop_crossed,B,48,7,or,left,congruent,high,low,left
cp_stroop_crossed,B,48,8,or,right,incongruent,mid,mid,right
cp_stroop_crossed,B,48,9,or,right,congruent,high,high,right
cp_stroop_crossed,B,48,10,or,right,incongruent,low,low,right
cp_stroop_crossed,B,48,11,or,left,incongruent,low,mid,right
cp_stroop_crossed,B,48,12,or,right,incongruent,low,mid,left
cp_stroop_crossed,B,48,13,or,left,incongruent,low,mid,left
cp_stroop_crossed,B,48,14,or,left,incongruent,mid,high,right
cp_stroop_crossed,B,48,15,or,right,congruent,low,mid,right
cp_stroop_crossed,B,48,16,or,right,congruent,mid,low,right
cp_stroop_crossed,B,48,17,or,left,congruent,mid,low,right
cp_stroop_crossed,B,48,18,or,right,congruent,mid,mid,left
cp_stroop_crossed,B,48,19,or,right,incongruent,mid,mid,left
cp_stroop_crossed,B,48,20,or,right,congruent,high,high,right
cp_stroop_crossed,B,48,21,or,left,congruent,low,high,right
cp_stroop_crossed,B,48,22,or,right,congruent,low,high,left
cp_stroop_crossed,B,48,23,or,left,congruent,high,high,right
cp_stroop_crossed,B,48,24,or,left,congruent,mid,low,left
cp_stroop_crossed,B,48,25,or,left,incongruent,low,mid,right
cp_stroop_crossed,B,48,26,or,right,incongruent,high,low,right
cp_stroop_crossed,B,48,27,or,left,congruent,low,low,right
cp_stroop_crossed,B,48,28,or,right,incongruent,high,low,right
cp_stroop_crossed,B,48,29,or,left,congruent,mid,high,left
cp_stroop_crossed,B,48,30,or,right,incongruent,mid,mid,left
cp_stroop_crossed,B,48,31,or,right,incongruent,high,high,left
cp_stroop_crossed,B,48,32,or,left,incongruent,mid,low,left
cp_stroop_crossed,B,48,33,or,right,incongruent,low,mid,left
cp_stroop_crossed,B,48,34,or,left,congruent,high,mid,left
cp_stroop_crossed,B,48,35,or,right,incongruent,low,low,left
cp_stroop_crossed,B,48,36,or,right,congruent,high,low,right
cp_stroop_crossed,B,48,37,or,right,incongruent,mid,high,left
cp_stroop_crossed,B,48,38,or,left,congruent,low,mid,left
cp_stroop_crossed,B,48,39,or,right,incongruent,high,low,left
cp_stroop_crossed,B,48,40,or,left,congruent,mid,mid,right
cp_stroop_crossed,B,48,41,or,right,incongruent,high,high,left
cp_stroop_crossed,B,48,42,or,left,congruent,low,mid,left
cp_stroop_crossed,B,48,43,or,right,congruent,mid,high,left
cp_stroop_crossed,B,48,44,or,left,congruent,high,low,right
cp_stroop_crossed,B,48,45,or,right,incongruent,high,mid,right
cp_stroop_crossed,B,48,46,or,right,congruent,high,high,left
cp_stroop_crossed,B,48,47,or,left,congruent,high,mid,right
cp_stroop_crossed,B,48,48,or,left,incongruent,low,high,right
cp_stroop_crossed,B,48,49,or,right,congruent,low,high,left
cp_stroop_crossed,B,48,50,or,left,incongruent,mid,low,right
cp_stroop_crossed,B,48,51,or,right,congruent,high,low,left
cp_stroop_crossed,B,48,52,or,left,congruent,low,high,right
cp_stroop_crossed,B,48,53,or,left,incongruent,low,low,right
cp_stroop_crossed,B,48,54,or,left,incongruent,mid,high,right
cp_stroop_crossed,B,48,55,or,right,incongruent,low,high,left
cp_stroop_crossed,B,48,56,or,left,congruent,mid,high,right
cp_stroop_crossed,B,48,57,or,right,incongruent,mid,mid,right
cp_stroop_crossed,B,48,58,or,left,congruent,low,low,right
cp_stroop_crossed,B,48,59,or,right,congruent,mid,mid,right
cp_stroop_crossed,B,48,60,or,right,congruent,high,high,left
cp_stroop_crossed,B,48,61,or,left,incongruent,mid,low,left
cp_stroop_crossed,B,48,62,or,left,congruent,mid,high,left
cp_stroop_crossed,B,48,63,or,left,incongruent,high,high,right
cp_stroop_crossed,B,48,64,or,right,incongruent,low,high,right
cp_stroop_crossed,B,48,65,or,left,congruent,mid,low,right
cp_stroop_crossed,B,48,66,or,left,congruent,mid,high,right
cp_stroop_crossed,B,48,67,or,right,incongruent,low,low,left
cp_stroop_crossed,B,48,68,or,right,congruent,high,low,left
cp_stroop_crossed,B,48,69,or,left,incongruent,mid,high,left
cp_stroop_crossed,B,48,70,or,right,incongruent,low,high,right
cp_stroop_crossed,B,48,71,or,left,congruent,high,mid,left
cp_stroop_crossed,B,48,72,or,left,congruent,mid,mid,right
cp_stroop_crossed,B,48,73,or,left,incongruent,mid,mid,right
cp_stroop_crossed,B,48,74,or,right,congruent,low,low,left
cp_stroop_crossed,B,48,75,or,right,incongruent,high,low,left
cp_stroop_crossed,B,48,76,or,left,incongruent,mid,low,right
cp_stroop_crossed,B,48,77,or,left,incongruent,high,mid,right
cp_stroop_crossed,B,48,78,or,right,incongruent,mid,high,right
cp_stroop_crossed,B,48,79,or,left,congruent,low,mid,right
