block_id,condition,sequence_id,trial_index,task,hand,task_transition,hand_transition,response_transition,congruency,target_coh_level,target_dir
cp_taskswitch,A,28,0,or,right,First,First,First,congruent,easy,left
cp_taskswitch,A,28,1,or,left,Repeat,Switch,Repeat,congruent,hard,left
cp_taskswitch,A,28,2,mov,left,Switch,Repeat,Switch,congruent,hard,right
cp_taskswitch,A,28,3,mov,left,Repeat,Repeat,Switch,congruent,hard,left
cp_taskswitch,A,28,4,mov,right,Repeat,Switch,Switch,congruent,hard,right
cp_taskswitch,A,28,5,or,right,Switch,Repeat,Switch,incongruent,easy,left
cp_taskswitch,A,28,6,mov,left,Switch,Switch,Repeat,incongruent,easy,left
cp_taskswitch,A,28,7,mov,left,Repeat,Repeat,Repeat,congruent,hard,left
cp_taskswitch,A,28,8,mov,right,Repeat,Switch,Switch,congruent,hard,right
cp_taskswitch,A,28,9,or,right,Switch,Repeat,Switch,congruent,easy,left
cp_taskswitch,A,28,10,or,left,Repeat,Switch,Repeat,incongruent,hard,left
cp_taskswitch,A,28,11,mov,left,Switch,Repeat,Switch,incongruent,hard,right
cp_taskswitch,A,28,12,mov,right,Repeat,Switch,Repeat,congruent,easy,right
cp_taskswitch,A,28,13,mov,right,Repeat,Repeat,Repeat,congruent,hard,right
cp_taskswitch,A,28,14,or,left,Switch,Switch,Repeat,congruent,easy,right
cp_taskswitch,A,28,15,or,left,Repeat,Repeat,Switch,congruent,hard,left
cp_taskswitch,A,28,16,or,right,Repeat,Switch,Switch,incongruent,hard,right
cp_taskswitch,A,28,17,mov,left,Switch,Switch,Repeat,incongruent,hard,right
cp_taskswitch,A,28,18,mov,left,Repeat,Repeat,Switch,incongruent,easy,left
cp_taskswitch,A,28,19,or,left,Switch,Repeat,Repeat,incongruent,easy,left
cp_taskswitch,A,28,20,or,right,Repeat,Switch,Switch,incongruent,hard,right
cp_taskswitch,A,28,21,or,left,Repeat,Switch,Switch,incongruent,hard,left
cp_taskswitch,A,28,22,mov,right,Switch,Switch,Switch,congruent,easy,right
cp_taskswitch,A,28,23,mov,right,Repeat,Repeat,Switch,incongruent,easy,left
cp_taskswitch,A,28,24,or,left,Switch,Switch,Switch,incongruent,hard,right
cp_taskswitch,A,28,25,mov,left,Switch,Repeat,Repeat,incongruent,hard,right
cp_taskswitch,A,28,26,mov,left,Repeat,Repeat,Switch,congruent,easy,left
cp_taskswitch,A,28,27,mov,right,Repeat,Switch,Repeat,congruent,hard,left
cp_taskswitch,A,28,28,or,right,Switch,Repeat,Repeat,congruent,hard,left
cp_taskswitch,A,28,29,or,left,Repeat,Switch,Repeat,incongruent,easy,left
cp_taskswitch,A,28,30,mov,left,Switch,Repeat,Repeat,congruent,easy,left
cp_taskswitch,A,28,31,mov,right,Repeat,Switch,Repeat,incongruent,easy,left
cp_taskswitch,A,28,32,or,right,Switch,Repeat,Switch,congruent,easy,right
cp_taskswitch,A,28,33,mov,left,Switch,Switch,Repeat,incongruent,hard,right
cp_taskswitch,A,28,34,mov,left,Repeat,Repeat,Switch,incongruent,easy,left
cp_taskswitch,A,28,35,mov,right,Repeat,Switch,Switch,incongruent,easy,right
cp_taskswitch,A,28,36,or,right,Switch,Repeat,Switch,congruent,hard,left
cp_taskswitch,A,28,37,mov,left,Switch,Switch,Switch,congruent,hard,right
cp_taskswitch,A,28,38,mov,left,Repeat,Repeat,Repeat,incongruent,hard,right
cp_taskswitch,A,28,39,or,left,Switch,Repeat,Repeat,congruent,hard,right
cp_taskswitch,A,28,40,or,right,Repeat,Switch,Repeat,congruent,hard,right
cp_taskswitch,A,28,41,mov,left,Switch,Switch,Repeat,incongruent,easy,right
