block_id,condition,sequence_id,trial_index,task,hand,task_transition,hand_transition,response_transition,congruency,target_coh_level,target_dir
cp_taskswitch,B,42,0,or,left,First,First,First,incongruent,easy,left
cp_taskswitch,B,42,1,or,right,Repeat,Switch,Switch,incongruent,hard,right
cp_taskswitch,B,42,2,mov,right,Switch,Repeat,Switch,congruent,hard,left
cp_taskswitch,B,42,3,or,right,Switch,Repeat,Switch,incongruent,hard,right
cp_taskswitch,B,42,4,or,left,Repeat,Switch,Repeat,incongruent,hard,right
cp_taskswitch,B,42,5,or,left,Repeat,Repeat,Repeat,incongruent,hard,right
cp_taskswitch,B,42,6,mov,right,Switch,Switch,Switch,congruent,hard,left
cp_taskswitch,B,42,7,or,right,Switch,Repeat,Repeat,congruent,hard,left
cp_taskswitch,B,42,8,or,right,Repeat,Repeat,Switch,incongruent,easy,right
cp_taskswitch,B,42,9,mov,left,Switch,Switch,Repeat,congruent,hard,right
cp_taskswitch,B,42,10,mov,left,Repeat,Repeat,Switch,congruent,easy,left
cp_taskswitch,B,42,11,mov,right,Repeat,Switch,Switch,congruent,hard,right
cp_taskswitch,B,42,12,or,right,Switch,Repeat,Switch,incongruent,hard,left
cp_taskswitch,B,42,13,or,right,Repeat,Repeat,Repeat,congruent,hard,left
cp_taskswitch,B,42,14,mov,left,Switch,Switch,Switch,incongruent,hard,right
cp_taskswitch,B,42,15,or,left,Switch,Repeat,Repeat,incongruent,easy,right
cp_taskswitch,B,42,16,mov,left,Switch,Repeat,Repeat,congruent,hard,right
cp_taskswitch,B,42,17,or,right,Switch,Switch,Repeat,incongruent,easy,right
cp_taskswitch,B,42,18,mov,left,Switch,Switch,Repeat,congruent,easy,right
cp_taskswitch,B,42,19,mov,left,Repeat,Repeat,Switch,congruent,easy,left
cp_taskswitch,B,42,20,mov,right,Repeat,Switch,Switch,congruent,easy,right
cp_taskswitch,B,42,21,or,right,Switch,Repeat,Switch,congruent,hard,left
cp_taskswitch,B,42,22,or,right,Repeat,Repeat,Switch,incongruent,easy,right
cp_taskswitch,B,42,23,mov,left,Switch,Switch,Repeat,incongruent,hard,right
cp_taskswitch,B,42,24,mov,left,Repeat,Repeat,Repeat,congruent,easy,right
cp_taskswitch,B,42,25,or,right,Switch,Switch,Repeat,incongruent,easy,right
cp_taskswitch,B,42,26,mov,right,Switch,Repeat,Switch,incongruent,easy,left
cp_taskswitch,B,42,27,or,right,Switch,Repeat,Switch,incongruent,easy,right
cp_taskswitch,B,42,28,or,left,Repeat,Switch,Switch,congruent,easy,left
cp_taskswitch,B,42,29,or,left,Repeat,Repeat,Switch,incongruent,hard,right
cp_taskswitch,B,42,30,mov,left,Switch,Repeat,Switch,congruent,easy,left
cp_taskswitch,B,42,31,mov,right,Repeat,Switch,Repeat,congruent,hard,left
cp_taskswitch,B,42,32,mov,left,Repeat,Switch,Switch,incongruent,hard,right
cp_taskswitch,B,42,33,or,left,Switch,Repeat,Switch,congruent,easy,left
cp_taskswitch,B,42,34,or,right,Repeat,Switch,Switch,congruent,easy,right
cp_taskswitch,B,42,35,or,right,Repeat,Repeat,Repeat,congruent,hard,right
cp_taskswitch,B,42,36,mov,left,Switch,Switch,Switch,congruent,easy,left
cp_taskswitch,B,42,37,mov,left,Repeat,Repeat,Repeat,congruent,hard,left
cp_taskswitch,B,42,38,mov,right,Repeat,Switch,Repeat,congruent,hard,left
cp_taskswitch,B,42,39,or,right,Switch,Repeat,Repeat,congruent,easy,left
cp_taskswitch,B,42,40,mov,right,Switch,Repeat,Repeat,congruent,easy,left
cp_taskswitch,B,42,41,mov,left,Repeat,Switch,Repeat,congruent,easy,left
cp_taskswitch,B,42,42,or,left,Switch,Repeat,Repeat,incongruent,easy,left
cp_taskswitch,B,42,43,or,left,Repeat,Repeat,Repeat,incongruent,hard,left
cp_taskswitch,B,42,44,or,right,Repeat,Switch,Repeat,incongruent,easy,left
cp_taskswitch,B,42,45,mov,right,Switch,Repeat,Switch,congruent,easy,right
cp_taskswitch,B,42,46,or,left,Switch,Switch,Switch,congruent,hard,left
cp_taskswitch,B,42,47,mov,right,Switch,Switch,Repeat,congruent,easy,left
cp_taskswitch,B,42,48,mov,right,Repeat,Repeat,Repeat,incongruent,easy,left
cp_taskswitch,B,42,49,mov,left,Repeat,Switch,Switch,congruent,hard,right
cp_taskswitch,B,42,50,or,left,Switch,Repeat,Repeat,congruent,hard,right
cp_taskswitch,B,42,51,mov,right,Switch,Switch,Switch,incongruent,easy,left
cp_taskswitch,B,42,52,or,left,Switch,Switch,Switch,incongruent,easy,right
cp_taskswitch,B,42,53,or,left,Repeat,Repeat,Repeat,incongruent,easy,right
cp_taskswitch,B,42,54,or,left,Repeat,Repeat,Repeat,congruent,easy,right
cp_taskswitch,B,42,55,mov,right,Switch,Switch,Repeat,congruent,easy,right
cp_taskswitch,B,42,56,mov,left,Repeat,Switch,Repeat,congruent,easy,right
cp_taskswitch,B,42,57,mov,right,Repeat,Switch,Switch,incongruent,easy,left
cp_taskswitch,B,42,58,or,left,Switch,Switch,Repeat,congruent,hard,left
cp_taskswitch,B,42,59,mov,right,Switch,Switch,Repeat,congruent,hard,left
cp_taskswitch,B,42,60,mov,left,Repeat,Switch,Repeat,congruent,easy,left
cp_taskswitch,B,42,61,mov,left,Repeat,Repeat,Repeat,incongruent,hard,left
cp_taskswitch,B,42,62,or,right,Switch,Switch,Switch,incongruent,hard,right
cp_taskswitch,B,42,63,or,right,Repeat,Repeat,Switch,congruent,hard,left
cp_taskswitch,B,42,64,or,left,Repeat,Switch,Repeat,incongruent,easy,left
cp_taskswitch,B,42,65,mov,left,Switch,Repeat,Repeat,incongruent,hard,left
cp_taskswitch,B,42,66,mov,right,Repeat,Switch,Switch,incongruent,easy,right
cp_taskswitch,B,42,67,mov,right,Repeat,Repeat,Switch,incongruent,hard,left
cp_taskswitch,B,42,68,or,left,Switch,Switch,Switch,congruent,easy,right
cp_taskswitch,B,42,69,mov,left,Switch,Repeat,Switch,incongruent,hard,left
cp_taskswitch,B,42,70,mov,left,Repeat,Repeat,Switch,incongruent,easy,right
cp_taskswitch,B,42,71,mov,right,Repeat,Switch,Switch,congruent,hard,left
