block_id,condition,sequence_id,trial_index,task,hand,task_transition,hand_transition,response_transition,congruency,target_coh_level,target_dir
cp_taskswitch_asym,A,44,0,or,right,First,First,First,congruent,hard,right
cp_taskswitch_asym,A,44,1,or,right,Repeat,Repeat,Repeat,congruent,hard,right
cp_taskswitch_asym,A,44,2,mov,left,Switch,Switch,Repeat,congruent,easy,right
cp_taskswitch_asym,A,44,3,mov,left,Repeat,Repeat,Repeat,congruent,easy,right
cp_taskswitch_asym,A,44,4,mov,right,Repeat,Switch,Switch,congruent,easy,left
cp_taskswitch_asym,A,44,5,or,right,Switch,Repeat,Switch,congruent,hard,right
cp_taskswitch_asym,A,44,6,mov,right,Switch,Repeat,Repeat,incongruent,easy,right
cp_taskswitch_asym,A,44,7,mov,left,Repeat,Switch,Repeat,incongruent,easy,right
cp_taskswitch_asym,A,44,8,mov,left,Repeat,Repeat,Switch,incongruent,easy,left
cp_taskswitch_asym,A,44,9,or,right,Switch,Switch,Switch,incongruent,hard,right
cp_taskswitch_asym,A,44,10,or,left,Repeat,Switch,Repeat,congruent,hard,right
cp_taskswitch_asym,A,44,11,mov,left,Switch,Repeat,Switch,congruent,easy,left
cp_taskswitch_asym,A,44,12,or,left,Switch,Repeat,Repeat,incongruent,hard,left
cp_taskswitch_asym,A,44,13,or,right,Repeat,Switch,Repeat,incongruent,hard,left
cp_taskswitch_asym,A,44,14,or,left,Repeat,Switch,Switch,incongruent,hard,right
cp_taskswitch_asym,A,44,15,mov,right,Switch,Switch,Switch,incongruent,easy,left
cp_taskswitch_asym,A,44,16,mov,right,Repeat,Repeat,Repeat,incongruent,easy,left
cp_taskswitch_asym,A,44,17,or,right,Switch,Repeat,Switch,incongruent,hard,right
cp_taskswitch_asym,A,44,18,or,left,Repeat,Switch,Switch,congruent,hard,left
cp_taskswitch_asym,A,44,19,or,right,Repeat,Switch,Repeat,congruent,hard,left
cp_taskswitch_asym,A,44,20,mov,left,Switch,Switch,Switch,incongruent,easy,right
cp_taskswitch_asym,A,44,21,mov,left,Repeat,Repeat,Switch,incongruent,easy,left
cp_taskswitch_asym,A,44,22,mov,right,Repeat,Switch,Repeat,incongruent,easy,left
cp_taskswitch_asym,A,44,23,or,right,Switch,Repeat,Repeat,congruent,hard,left
cp_taskswitch_asym,A,44,24,or,right,Repeat,Repeat,Switch,incongruent,hard,right
cp_taskswitch_asym,A,44,25,or,left,Repeat,Switch,Switch,incongruent,hard,left
cp_taskswitch_asym,A,44,26,mov,left,Switch,Repeat,Repeat,congruent,easy,left
cp_taskswitch_asym,A,44,27,mov,left,Repeat,Repeat,Repeat,incongruent,easy,left
cp_taskswitch_asym,A,44,28,or,right,Switch,Switch,Repeat,congruent,hard,left
cp_taskswitch_asym,A,44,29,or,left,Repeat,Switch,Repeat,incongruent,hard,left
cp_taskswitch_asym,A,44,30,or,left,Repeat,Repeat,Switch,congruent,hard,right
cp_taskswitch_asym,A,44,31,mov,right,Switch,Switch,Switch,congruent,easy,left
cp_taskswitch_asym,A,44,32,mov,right,Repeat,Repeat,Repeat,incongruent,easy,left
cp_taskswitch_asym,A,44,33,mov,right,Repeat,Repeat,Switch,congruent,easy,right
cp_taskswitch_asym,A,44,34,or,left,Switch,Switch,Repeat,congruent,hard,right
cp_taskswitch_asym,A,44,35,or,right,Repeat,Switch,Switch,congruent,hard,left
cp_taskswitch_asym,A,44,36,or,right,Repeat,Repeat,Switch,incongruent,hard,right
cp_taskswitch_asym,A,44,37,mov,right,Switch,Repeat,Switch,congruent,easy,left
cp_taskswitch_asym,A,44,38,or,left,Switch,Switch,Switch,incongruent,hard,right
cp_taskswitch_asym,A,44,39,or,right,Repeat,Switch,Switch,congruent,hard,left
cp_taskswitch_asym,A,44,40,or,left,Repeat,Switch,Switch,incongruent,hard,right
cp_taskswitch_asym,A,44,41,mov,left,Switch,Repeat,Switch,incongruent,easy,left
cp_taskswitch_asym,A,44,42,or,left,Switch,Repeat,Switch,incongruent,hard,right
cp_taskswitch_asym,A,44,43,mov,right,Switch,Switch,Repeat,incongruent,easy,right
cp_taskswitch_asym,A,44,44,or,right,Switch,Repeat,Repeat,congruent,hard,right
cp_taskswitch_asym,A,44,45,or,left,Repeat,Switch,Repeat,incongruent,hard,right
cp_taskswitch_asym,A,44,46,or,right,Repeat,Switch,Switch,congruent,hard,left
cp_taskswitch_asym,A,44,47,mov,left,Switch,Switch,Switch,congruent,easy,right
cp_taskswitch_asym,A,44,48,or,left,Switch,Repeat,Switch,incongruent,hard,left
cp_taskswitch_asym,A,44,49,or,left,Repeat,Repeat,Switch,congruent,hard,right
cp_taskswitch_asym,A,44,50,mov,right,Switch,Switch,Switch,congruent,easy,left
cp_taskswitch_asym,A,44,51,mov,left,Repeat,Switch,Switch,congruent,easy,right
cp_taskswitch_asym,A,44,52,mov,right,Repeat,Switch,Switch,incongruent,easy,left
cp_taskswitch_asym,A,44,53,or,right,Switch,Repeat,Switch,congruent,hard,right
cp_taskswitch_asym,A,44,54,or,right,Repeat,Repeat,Repeat,congruent,hard,right
cp_taskswitch_asym,A,44,55,mov,left,Switch,Switch,Repeat,incongruent,easy,right
cp_taskswitch_asym,A,44,56,mov,left,Repeat,Repeat,Switch,incongruent,easy,left
cp_taskswitch_asym,A,44,57,mov,left,Repeat,Repeat,Switch,congruent,easy,right
cp_taskswitch_asym,A,44,58,or,right,Switch,Switch,Repeat,incongruent,hard,right
cp_taskswitch_asym,A,44,59,mov,left,Switch,Switch,Repeat,incongruent,easy,right
cp_taskswitch_asym,A,44,60,or,right,Switch,Switch,Repeat,congruent,hard,right
cp_taskswitch_asym,A,44,61,mov,right,Switch,Repeat,Repeat,congruent,easy,right
cp_taskswitch_asym,A,44,62,mov,right,Repeat,Repeat,Repeat,congruent,easy,right
cp_taskswitch_asym,A,44,63,or,left,Switch,Switch,Repeat,incongruent,hard,right
cp_taskswitch_asym,A,44,64,or,left,Repeat,Repeat,Repeat,incongruent,hard,right
cp_taskswitch_asym,A,44,65,mov,left,Switch,Repeat,Switch,incongruent,easy,left
cp_taskswitch_asym,A,44,66,mov,right,Repeat,Switch,Repeat,congruent,easy,left
cp_taskswitch_asym,A,44,67,mov,right,Repeat,Repeat,Repeat,incongruent,easy,left
cp_taskswitch_asym,A,44,68,or,left,Switch,Switch,Repeat,congruent,hard,left
cp_taskswitch_asym,A,44,69,mov,left,Switch,Repeat,Switch,congruent,easy,right
cp_taskswitch_asym,A,44,70,or,left,Switch,Repeat,Repeat,incongruent,hard,right
cp_taskswitch_asym,A,44,71,or,right,Repeat,Switch,Switch,incongruent,hard,left
cp_taskswitch_asym,A,44,72,or,right,Repeat,Repeat,Switch,incongruent,hard,right
cp_taskswitch_asym,A,44,73,mov,left,Switch,Switch,Switch,incongruent,easy,left
cp_taskswitch_asym,A,44,74,or,left,Switch,Repeat,Repeat,congruent,hard,left
cp_taskswitch_asym,A,44,75,or,right,Repeat,Switch,Repeat,congruent,hard,left
cp_taskswitch_asym,A,44,76,mov,right,Switch,Repeat,Repeat,incongruent,easy,left
cp_taskswitch_asym,A,44,77,mov,right,Repeat,Repeat,Repeat,congruent,easy,left
cp_taskswitch_asym,A,44,78,or,left,Switch,Switch,Switch,incongruent,hard,right
cp_taskswitch_asym,A,44,79,mov,right,Switch,Switch,Repeat,congruent,easy,right
cp_taskswitch_asym,A,44,80,mov,right,Repeat,Repeat,Repeat,incongruent,easy,right
cp_taskswitch_asym,A,44,81,mov,left,Repeat,Switch,Repeat,incongruent,easy,right
cp_taskswitch_asym,A,44,82,or,right,Switch,Switch,Switch,congruent,hard,left
cp_taskswitch_asym,A,44,83,mov,right,Switch,Repeat,Switch,congruent,easy,right
cp_taskswitch_asym,A,44,84,mov,right,Repeat,Repeat,Switch,congruent,easy,left
cp_taskswitch_asym,A,44,85,or,left,Switch,Switch,Switch,congruent,hard,right
cp_taskswitch_asym,A,44,86,or,left,Repeat,Repeat,Switch,congruent,hard,left
cp_taskswitch_asym,A,44,87,mov,left,Switch,Repeat,Repeat,incongruent,easy,left
cp_taskswitch_asym,A,44,88,mov,right,Repeat,Switch,Repeat,congruent,easy,left
cp_taskswitch_asym,A,44,89,or,right,Switch,Repeat,Repeat,congruent,hard,left
cp_taskswitch_asym,A,44,90,mov,left,Switch,Switch,Repeat,incongruent,easy,left
cp_taskswitch_asym,A,44,91,or,right,Switch,Switch,Switch,congruent,hard,right
cp_taskswitch_asym,A,44,92,or,left,Repeat,Switch,Switch,incongruent,hard,left
cp_taskswitch_asym,A,44,93,or,left,Repeat,Repeat,Repeat,congruent,hard,left
cp_taskswitch_asym,A,44,94,mov,left,Switch,Repeat,Repeat,incongruent,easy,left
cp_taskswitch_asym,A,44,95,mov,right,Repeat,Switch,Repeat,congruent,easy,left
