block_id,condition,sequence_id,trial_index,task,hand,task_transition,hand_transition,response_transition,congruency,target_coh_level,target_dir
cp_taskswitch_asym,B,10,0,or,right,First,First,First,congruent,easy,right
cp_taskswitch_asym,B,10,1,mov,right,Switch,Repeat,Switch,incongruent,hard,left
cp_taskswitch_asym,B,10,2,mov,right,Repeat,Repeat,Switch,incongruent,hard,right
cp_taskswitch_asym,B,10,3,or,left,Switch,Switch,Repeat,congruent,easy,right
cp_taskswitch_asym,B,10,4,mov,left,Switch,Repeat,Switch,congruent,hard,left
cp_taskswitch_asym,B,10,5,mov,right,Repeat,Switch,Switch,congruent,hard,right
cp_taskswitch_asym,B,10,6,or,right,Switch,Repeat,Repeat,congruent,easy,right
cp_taskswitch_asym,B,10,7,or,right,Repeat,Repeat,Switch,congruent,easy,left
cp_taskswitch_asym,B,10,8,mov,left,Switch,Switch,Repeat,incongruent,hard,left
cp_taskswitch_asym,B,10,9,mov,left,Repeat,Repeat,Repeat,congruent,hard,left
cp_taskswitch_asym,B,10,10,mov,right,Repeat,Switch,Repeat,incongruent,hard,left
cp_taskswitch_asym,B,10,11,or,right,Switch,Repeat,Switch,congruent,easy,right
cp_taskswitch_asym,B,10,12,or,right,Repeat,Repeat,Repeat,congruent,easy,right
cp_taskswitch_asym,B,10,13,or,left,Repeat,Switch,Repeat,incongruent,easy,right
cp_taskswitch_asym,B,10,14,mov,right,Switch,Switch,Switch,congruent,hard,left
cp_taskswitch_asym,B,10,15,mov,right,Repeat,Repeat,Switch,congruent,hard,right
cp_taskswitch_asym,B,10,16,mov,left,Repeat,Switch,Switch,incongruent,hard,left
cp_taskswitch_asym,B,10,17,or,left,Switch,Repeat,Repeat,congruent,easy,left
cp_taskswitch_asym,B,10,18,or,right,Repeat,Switch,Switch,congruent,easy,right
cp_taskswitch_asym,B,10,19,or,right,Repeat,Repeat,Switch,incongruent,easy,left
cp_taskswitch_asym,B,10,20,mov,left,Switch,Switch,Repeat,incongruent,hard,left
cp_taskswitch_asym,B,10,21,or,left,Switch,Repeat,Switch,incongruent,easy,right
cp_taskswitch_asym,B,10,22,or,right,Repeat,Switch,Switch,incongruent,easy,left
cp_taskswitch_asym,B,10,23,mov,left,Switch,Switch,Switch,incongruent,hard,right
cp_taskswitch_asym,B,10,24,mov,left,Repeat,Repeat,Repeat,incongruent,hard,right
cp_taskswitch_asym,B,10,25,mov,left,Repeat,Repeat,Repeat,incongruent,hard,right
cp_taskswitch_asym,B,10,26,or,right,Switch,Switch,Repeat,congruent,easy,right
cp_taskswitch_asym,B,10,27,mov,right,Switch,Repeat,Repeat,congruent,hard,right
cp_taskswitch_asym,B,10,28,or,right,Switch,Repeat,Switch,incongruent,easy,left
cp_taskswitch_asym,B,10,29,or,left,Repeat,Switch,Switch,incongruent,easy,right
cp_taskswitch_asym,B,10,30,mov,right,Switch,Switch,Switch,incongruent,hard,left
cp_taskswitch_asym,B,10,31,mov,right,Repeat,Repeat,Switch,congruent,hard,right
cp_taskswitch_asym,B,10,32,mov,left,Repeat,Switch,Switch,incongruent,hard,left
cp_taskswitch_asym,B,10,33,or,left,Switch,Repeat,Switch,incongruent,easy,right
cp_taskswitch_asym,B,10,34,mov,right,Switch,Switch,Repeat,incongruent,hard,right
cp_taskswitch_asym,B,10,35,or,right,Switch,Repeat,Switch,incongruent,easy,left
cp_taskswitch_asym,B,10,36,mov,left,Switch,Switch,Repeat,incongruent,hard,left
cp_taskswitch_asym,B,10,37,or,right,Switch,Switch,Switch,congruent,easy,right
cp_taskswitch_asym,B,10,38,mov,right,Switch,Repeat,Repeat,incongruent,hard,right
cp_taskswitch_asym,B,10,39,mov,right,Repeat,Repeat,Switch,congruent,hard,left
cp_taskswitch_asym,B,10,40,mov,left,Repeat,Switch,Repeat,congruent,hard,left
cp_taskswitch_asym,B,10,41,or,left,Switch,Repeat,Repeat,incongruent,easy,left
cp_taskswitch_asym,B,10,42,or,left,Repeat,Repeat,Switch,incongruent,easy,right
cp_taskswitch_asym,B,10,43,mov,right,Switch,Switch,Switch,incongruent,hard,left
cp_taskswitch_asym,B,10,44,or,right,Switch,Repeat,Switch,congruent,easy,right
cp_taskswitch_asym,B,10,45,or,left,Repeat,Switch,Repeat,incongruent,easy,right
cp_taskswitch_asym,B,10,46,mov,right,Switch,Switch,Switch,incongruent,hard,left
cp_taskswitch_asym,B,10,47,mov,left,Repeat,Switch,Repeat,incongruent,hard,left
cp_taskswitch_asym,B,10,48,mov,left,Repeat,Repeat,Repeat,incongruent,hard,left
cp_taskswitch_asym,B,10,49,or,left,Switch,Repeat,Repeat,congruent,easy,left
cp_taskswitch_asym,B,10,50,or,right,Repeat,Switch,Repeat,congruent,easy,left
cp_taskswitch_asym,B,10,51,mov,right,Switch,Repeat,Switch,congruent,hard,right
cp_taskswitch_asym,B,10,52,mov,left,Repeat,Switch,Repeat,congruent,hard,right
cp_taskswitch_asym,B,10,53,or,right,Switch,Switch,Repeat,congruent,easy,right
cp_taskswitch_asym,B,10,54,or,left,Repeat,Switch,Switch,incongruent,easy,left
cp_taskswitch_asym,B,10,55,mov,left,Switch,Repeat,Switch,incongruent,hard,right
cp_taskswitch_asym,B,10,56,mov,left,Repeat,Repeat,Repeat,congruent,hard,right
cp_taskswitch_asym,B,10,57,mov,right,Repeat,Switch,Switch,congruent,hard,left
cp_taskswitch_asym,B,10,58,or,left,Switch,Switch,Repeat,congruent,easy,left
cp_taskswitch_asym,B,10,59,or,right,Repeat,Switch,Switch,congruent,easy,right
cp_taskswitch_asym,B,10,60,or,right,Repeat,Repeat,Repeat,incongruent,easy,right
cp_taskswitch_asym,B,10,61,mov,left,Switch,Switch,Switch,incongruent,hard,left
cp_taskswitch_asym,B,10,62,or,left,Switch,Repeat,Switch,congruent,easy,right
cp_taskswitch_asym,B,10,63,or,right,Repeat,Switch,Switch,congruent,easy,left
cp_taskswitch_asym,B,10,64,mov,left,Switch,Switch,Repeat,incongruent,hard,left
cp_taskswitch_asym,B,10,65,or,right,Switch,Switch,Switch,congruent,easy,right
cp_taskswitch_asym,B,10,66,or,left,Repeat,Switch,Repeat,congruent,easy,right
cp_taskswitch_asym,B,10,67,or,left,Repeat,Repeat,Switch,incongruent,easy,left
cp_taskswitch_asym,B,10,68,mov,left,Switch,Repeat,Repeat,congruent,hard,left
cp_taskswitch_asym,B,10,69,or,right,Switch,Switch,Repeat,congruent,easy,left
cp_taskswitch_asym,B,10,70,mov,right,Switch,Repeat,Repeat,incongruent,hard,left
cp_taskswitch_asym,B,10,71,mov,right,Repeat,Repeat,Switch,congruent,hard,right
cp_taskswitch_asym,B,10,72,mov,left,Repeat,Switch,Switch,incongruent,hard,left
cp_taskswitch_asym,B,10,73,or,right,Switch,Switch,Switch,congruent,easy,right
cp_taskswitch_asym,B,10,74,or,left,Repeat,Switch,Switch,congruent,easy,left
cp_taskswitch_asym,B,10,75,mov,left,Switch,Repeat,Repeat,incongruent,hard,left
cp_taskswitch_asym,B,10,76,mov,left,Repeat,Repeat,Repeat,congruent,hard,left
cp_taskswitch_asym,B,10,77,or,right,Switch,Switch,Switch,congruent,easy,right
cp_taskswitch_asym,B,10,78,mov,right,Switch,Repeat,Switch,congruent,hard,left
cp_taskswitch_asym,B,10,79,mov,left,Repeat,Switch,Repeat,incongruent,hard,left
cp_taskswitch_asym,B,10,80,or,left,Switch,Repeat,Repeat,congruent,easy,left
cp_taskswitch_asym,B,10,81,or,right,Repeat,Switch,Repeat,congruent,easy,left
cp_taskswitch_asym,B,10,82,or,right,Repeat,Repeat,Switch,incongruent,easy,right
cp_taskswitch_asym,B,10,83,mov,right,Switch,Repeat,Repeat,incongruent,hard,right
cp_taskswitch_asym,B,10,84,mov,left,Repeat,Switch,Repeat,congruent,hard,right
cp_taskswitch_asym,B,10,85,mov,right,Repeat,Switch,Repeat,incongruent,hard,right
cp_taskswitch_asym,B,10,86,or,left,Switch,Switch,Repeat,incongruent,easy,right
cp_taskswitch_asym,B,10,87,or,left,Repeat,Repeat,Switch,congruent,easy,left
cp_taskswitch_asym,B,10,88,or,left,Repeat,Repeat,Repeat,congruent,easy,left
cp_taskswitch_asym,B,10,89,mov,right,Switch,Switch,Switch,incongruent,hard,right
cp_taskswitch_asym,B,10,90,mov,right,Repeat,Repeat,Switch,incongruent,hard,left
cp_taskswitch_asym,B,10,91,or,left,Switch,Switch,Switch,congruent,easy,right
cp_taskswitch_asym,B,10,92,or,left,Repeat,Repeat,Repeat,incongruent,easy,right
cp_taskswitch_asym,B,10,93,or,left,Repeat,Repeat,Repeat,congruent,easy,right
cp_taskswitch_asym,B,10,94,mov,right,Switch,Switch,Repeat,congruent,hard,right
cp_taskswitch_asym,B,10,95,or,right,Switch,Repeat,Repeat,incongruent,easy,right
