block_id,condition,sequence_id,trial_index,task,hand,soa_level,congruency,prev_cross_congruency,target_dir
cp_prp,A,47,0,mov,left,100,congruent,First,right
cp_prp,A,47,1,mov,left,100,incongruent,Congruent,left
cp_prp,A,47,2,mov,left,100,congruent,Incongruent,right
cp_prp,A,47,3,mov,left,600,congruent,Congruent,right
cp_prp,A,47,4,mov,left,100,incongruent,Congruent,left
cp_prp,A,47,5,mov,left,600,incongruent,Incongruent,right
cp_prp,A,47,6,mov,left,100,congruent,Incongruent,right
cp_prp,A,47,7,mov,left,600,congruent,Congruent,left
cp_prp,A,47,8,mov,left,600,incongruent,Congruent,left
cp_prp,A,47,9,mov,left,100,incongruent,Incongruent,left
cp_prp,A,47,10,mov,left,600,incongruent,Incongruent,left
cp_prp,A,47,11,mov,left,300,incongruent,Incongruent,right
cp_prp,A,47,12,mov,left,300,incongruent,Incongruent,left
cp_prp,A,47,13,mov,left,100,incongruent,Incongruent,right
cp_prp,A,47,14,mov,left,300,congruent,Incongruent,right
cp_prp,A,47,15,mov,left,600,congruent,Congruent,left
cp_prp,A,47,16,mov,left,600,incongruent,Congruent,right
cp_prp,A,47,17,mov,left,100,incongruent,Incongruent,left
cp_prp,A,47,18,mov,left,600,congruent,Incongruent,right
cp_prp,A,47,19,mov,left,100,congruent,Congruent,right
cp_prp,A,47,20,mov,left,300,congruent,Congruent,right
cp_prp,A,47,21,mov,left,300,incongruent,Congruent,right
cp_prp,A,47,22,mov,left,600,incongruent,Incongruent,left
cp_prp,A,47,23,mov,left,600,congruent,Incongruent,left
cp_prp,A,47,24,mov,left,600,incongruent,Congruent,left
cp_prp,A,47,25,mov,left,600,congruent,Incongruent,left
cp_prp,A,47,26,mov,left,100,incongruent,Congruent,right
cp_prp,A,47,27,mov,left,300,incongruent,Incongruent,right
cp_prp,A,47,28,mov,left,300,incongruent,Incongruent,left
cp_prp,A,47,29,mov,left,300,congruent,Incongruent,right
cp_prp,A,47,30,mov,left,100,congruent,Congruent,left
cp_prp,A,47,31,mov,left,300,incongruent,Congruent,left
