block_id,condition,sequence_id,trial_index,task,hand,soa_level,congruency,prev_cross_congruency,target_dir
cp_prp,B,48,0,or,right,600,congruent,First,right
cp_prp,B,48,1,or,right,300,congruent,Congruent,right
cp_prp,B,48,2,or,right,100,incongruent,Congruent,left
cp_prp,B,48,3,or,right,600,congruent,Incongruent,right
cp_prp,B,48,4,or,right,100,congruent,Congruent,left
cp_prp,B,48,5,or,right,600,incongruent,Congruent,left
cp_prp,B,48,6,or,right,300,congruent,Incongruent,right
cp_prp,B,48,7,or,right,600,congruent,Congruent,right
cp_prp,B,48,8,or,right,100,incongruent,Congruent,left
cp_prp,B,48,9,or,right,300,congruent,Incongruent,left
cp_prp,B,48,10,or,right,300,congruent,Congruent,left
cp_prp,B,48,11,or,right,300,incongruent,Congruent,left
cp_prp,B,48,12,or,right,300,congruent,Incongruent,right
cp_prp,B,48,13,or,right,100,congruent,Congruent,right
cp_prp,B,48,14,or,right,100,incongruent,Congruent,left
cp_prp,B,48,15,or,right,100,congruent,Incongruent,right
cp_prp,B,48,16,or,right,100,incongruent,Congruent,right
cp_prp,B,48,17,or,right,600,congruent,Incongruent,right
cp_prp,B,48,18,or,right,300,incongruent,Congruent,right
cp_prp,B,48,19,or,right,600,incongruent,Incongruent,right
cp_prp,B,48,20,or,right,300,incongruent,Incongruent,right
cp_prp,B,48,21,or,right,300,congruent,Incongruent,left
cp_prp,B,48,22,or,right,300,congruent,Congruent,left
cp_prp,B,48,23,or,right,100,incongruent,Congruent,right
cp_prp,B,48,24,or,right,100,congruent,Incongruent,right
cp_prp,B,48,25,or,right,300,congruent,Congruent,right
cp_prp,B,48,26,or,right,600,congruent,Congruent,left
cp_prp,B,48,27,or,right,100,congruent,Congruent,left
cp_prp,B,48,28,or,right,600,congruent,Congruent,left
cp_prp,B,48,29,or,right,300,incongruent,Congruent,right
cp_prp,B,48,30,or,right,600,incongruent,Incongruent,left
cp_prp,B,48,31,or,right,600,congruent,Incongruent,left
cp_prp,B,48,32,or,right,100,congruent,Congruent,right
cp_prp,B,48,33,or,right,300,congruent,Congruent,left
cp_prp,B,48,34,or,right,300,congruent,Congruent,right
cp_prp,B,48,35,or,right,600,incongruent,Congruent,right
cp_prp,B,48,36,or,right,600,congruent,Incongruent,right
cp_prp,B,48,37,or,right,600,incongruent,Congruent,right
cp_prp,B,48,38,or,right,600,incongruent,Incongruent,left
