block_id,condition,sequence_id,trial_index,task,hand,congruency,prev_congruency,target_dir,response_transition
cp_stroop,B,6,0,or,right,incongruent,First,left,First
cp_stroop,B,6,1,or,left,congruent,Incongruent,right,Switch
cp_stroop,B,6,2,or,right,congruent,Congruent,left,Switch
cp_stroop,B,6,3,or,right,congruent,Congruent,left,Repeat
cp_stroop,B,6,4,or,right,congruent,Congruent,right,Switch
cp_stroop,B,6,5,or,left,incongruent,Congruent,right,Repeat
cp_stroop,B,6,6,or,right,congruent,Incongruent,left,Switch
cp_stroop,B,6,7,or,right,incongruent,Congruent,left,Repeat
cp_stroop,B,6,8,or,right,incongruent,Incongruent,left,Repeat
cp_stroop,B,6,9,or,left,congruent,Incongruent,right,Switch
cp_stroop,B,6,10,or,right,congruent,Congruent,right,Repeat
cp_stroop,B,6,11,or,left,incongruent,Congruent,left,Switch
cp_stroop,B,6,12,or,left,congruent,Incongruent,right,Switch
cp_stroop,B,6,13,or,right,incongruent,Congruent,right,Repeat
cp_stroop,B,6,14,or,left,congruent,Incongruent,right,Repeat
cp_stroop,B,6,15,or,left,incongruent,Congruent,left,Switch
cp_stroop,B,6,16,or,right,incongruent,Incongruent,left,Repeat
cp_stroop,B,6,17,or,right,congruent,Incongruent,right,Switch
cp_stroop,B,6,18,or,left,incongruent,Congruent,left,Switch
cp_stroop,B,6,19,or,right,incongruent,Incongruent,right,Switch
cp_stroop,B,6,20,or,left,congruent,Incongruent,right,Repeat
cp_stroop,B,6,21,or,right,incongruent,Congruent,right,Repeat
cp_stroop,B,6,22,or,left,congruent,Incongruent,right,Repeat
cp_stroop,B,6,23,or,left,congruent,Congruent,left,Switch
cp_stroop,B,6,24,or,left,incongruent,Congruent,right,Switch
cp_stroop,B,6,25,or,right,incongruent,Incongruent,right,Repeat
cp_stroop,B,6,26,or,left,incongruent,Incongruent,right,Repeat
cp_stroop,B,6,27,or,right,congruent,Incongruent,right,Repeat
cp_stroop,B,6,28,or,left,congruent,Congruent,left,Switch
cp_stroop,B,6,29,or,left,incongruent,Congruent,left,Repeat
cp_stroop,B,6,30,or,left,incongruent,Incongruent,right,Switch
cp_stroop,B,6,31,or,right,incongruent,Incongruent,left,Switch
cp_stroop,B,6,32,or,right,incongruent,Incongruent,left,Repeat
cp_stroop,B,6,33,or,right,congruent,Incongruent,right,Switch
cp_stroop,B,6,34,or,left,incongruent,Congruent,left,Switch
cp_stroop,B,6,35,or,right,congruent,Incongruent,left,Repeat
cp_stroop,B,6,36,or,left,congruent,Congruent,right,Switch
cp_stroop,B,6,37,or,left,incongruent,Congruent,right,Repeat
cp_stroop,B,6,38,or,right,incongruent,Incongruent,left,Switch
cp_stroop,B,6,39,or,right,congruent,Incongruent,right,Switch
cp_stroop,B,6,40,or,left,incongruent,Congruent,right,Repeat
cp_stroop,B,6,41,or,right,congruent,Incongruent,left,Switch
cp_stroop,B,6,42,or,right,incongruent,Congruent,right,Switch
cp_stroop,B,6,43,or,right,incongruent,Incongruent,right,Repeat
cp_stroop,B,6,44,or,left,congruent,Incongruent,right,Repeat
cp_stroop,B,6,45,or,left,incongruent,Congruent,left,Switch
