block_id,condition,sequence_id,trial_index,task,hand,congruency,target_coh_level,distractor_coh_level,target_dir
cp_stroop_crossed,A,34,0,mov,right,congruent,high,low,right
cp_stroop_crossed,A,34,1,mov,left,incongruent,low,low,left
cp_stroop_crossed,A,34,2,mov,right,incongruent,high,low,left
cp_stroop_crossed,A,34,3,mov,right,congruent,low,low,left
cp_stroop_crossed,A,34,4,mov,left,congruent,high,high,left
cp_stroop_crossed,A,34,5,mov,left,incongruent,low,mid,left
cp_stroop_crossed,A,34,6,mov,right,incongruent,mid,high,right
cp_stroop_crossed,A,34,7,mov,left,incongruent,low,mid,right
cp_stroop_crossed,A,34,8,mov,right,incongruent,high,mid,left
cp_stroop_crossed,A,34,9,mov,left,incongruent,low,high,right
cp_stroop_crossed,A,34,10,mov,right,congruent,low,high,right
cp_stroop_crossed,A,34,11,mov,left,congruent,mid,mid,left
cp_stroop_crossed,A,34,12,mov,left,incongruent,mid,mid,left
cp_stroop_crossed,A,34,13,mov,right,congruent,high,mid,left
cp_stroop_crossed,A,34,14,mov,right,congruent,high,mid,right
cp_stroop_crossed,A,34,15,mov,left,incongruent,low,high,left
cp_stroop_crossed,A,34,16,mov,left,incongruent,mid,low,right
cp_stroop_crossed,A,34,17,mov,right,congruent,high,mid,left
cp_stroop_crossed,A,34,18,mov,left,congruent,mid,mid,right
cp_stroop_crossed,A,34,19,mov,right,congruent,high,high,right
cp_stroop_crossed,A,34,20,mov,left,incongruent,low,mid,left
cp_stroop_crossed,A,34,21,mov,right,incongruent,high,mid,right
cp_stroop_crossed,A,34,22,mov,left,congruent,low,high,right
cp_stroop_crossed,A,34,23,mov,left,congruent,low,high,left
cp_stroop_crossed,A,34,24,mov,left,incongruent,mid,mid,left
cp_stroop_crossed,A,34,25,mov,right,incongruent,mid,mid,right
cp_stroop_crossed,A,34,26,mov,right,congruent,low,low,right
cp_stroop_crossed,A,34,27,mov,left,congruent,high,mid,right
cp_stroop_crossed,A,34,28,mov,left,congruent,mid,high,left
cp_stroop_crossed,A,34,29,mov,left,congruent,mid,high,left
cp_stroop_crossed,A,34,30,mov,right,incongruent,low,high,right
cp_stroop_crossed,A,34,31,mov,left,incongruent,low,low,right
cp_stroop_crossed,A,34,32,mov,left,congruent,low,high,left
cp_stroop_crossed,A,34,33,mov,left,congruent,mid,low,right
cp_stroop_crossed,A,34,34,mov,right,congruent,high,mid,right
cp_stroop_crossed,A,34,35,mov,left,incongruent,low,high,left
cp_stroop_crossed,A,34,36,mov,left,congruent,low,mid,right
cp_stroop_crossed,A,34,37,mov,left,congruent,mid,mid,left
cp_stroop_crossed,A,34,38,mov,right,incongruent,mid,mid,left
cp_stroop_crossed,A,34,39,mov,left,incongruent,high,low,left
cp_stroop_crossed,A,34,40,mov,right,congruent,high,high,right
cp_stroop_crossed,A,34,41,mov,right,congruent,mid,low,left
cp_stroop_crossed,A,34,42,mov,left,congruent,low,mid,left
cp_stroop_crossed,A,34,43,mov,right,incongruent,high,low,left
cp_stroop_crossed,A,34,44,mov,right,incongruent,low,low,right
cp_stroop_crossed,A,34,45,mov,right,incongruent,high,high,right
cp_stroop_crossed,A,34,46,mov,left,incongruent,mid,low,right
cp_stroop_crossed,A,34,47,mov,right,congruent,mid,high,right
cp_stroop_crossed,A,34,48,mov,right,congruent,low,high,left
cp_stroop_crossed,A,34,49,mov,left,incongruent,mid,low,left
cp_stroop_crossed,A,34,50,mov,right,incongruent,low,low,left
cp_stroop_crossed,A,34,51,mov,right,incongruent,mid,low,left
cp_stroop_crossed,A,34,52,mov,left,congruent,mid,high,left
cp_stroop_crossed,A,34,53,mov,right,incongruent,high,mid,right
cp_stroop_crossed,A,34,54,mov,right,incongruent,mid,high,right
cp_stroop_crossed,A,34,55,mov,left,congruent,low,mid,left
cp_stroop_crossed,A,34,56,mov,left,congruent,mid,mid,left
cp_stroop_crossed,A,34,57,mov,left,congruent,mid,low,left
cp_stroop_crossed,A,34,58,mov,right,incongruent,high,low,right
cp_stroop_crossed,A,34,59,mov,right,congruent,high,mid,left
cp_stroop_crossed,A,34,60,mov,left,incongruent,low,mid,right
cp_stroop_crossed,A,34,61,mov,left,congruent,mid,mid,right
cp_stroop_crossed,A,34,62,mov,right,incongruent,high,mid,right
cp_stroop_crossed,A,34,63,mov,left,congruent,high,low,left
cp_stroop_crossed,A,34,64,mov,right,congruent,high,low,right
cp_stroop_crossed,A,34,65,mov,right,incongruent,low,mid,left
cp_stroop_crossed,A,34,66,mov,left,incongruent,mid,low,right
cp_stroop_crossed,A,34,67,mov,right,incongruent,high,high,right
cp_stroop_crossed,A,34,68,mov,left,congruent,high,high,left
cp_stroop_crossed,A,34,69,mov,right,congruent,mid,low,right
cp_stroop_crossed,A,34,70,mov,right,incongruent,high,high,left
cp_stroop_crossed,A,34,71,mov,left,incongruent,low,low,left
cp_stroop_crossed,A,34,72,mov,right,incongruent,high,mid,left
