block_id,condition,sequence_id,trial_index,task,hand,congruency,target_coh_level,distractor_coh_level,target_dir
cp_stroop_crossed,B,13,0,or,right,incongruent,mid,low,left
cp_stroop_crossed,B,13,1,or,right,incongruent,high,low,left
cp_stroop_crossed,B,13,2,or,left,congruent,mid,low,right
cp_stroop_crossed,B,13,3,or,right,congruent,high,mid,left
cp_stroop_crossed,B,13,4,or,left,congruent,low,low,right
cp_stroop_crossed,B,13,5,or,left,incongruent,mid,low,right
cp_stroop_crossed,B,13,6,or,right,incongruent,mid,high,left
cp_stroop_crossed,B,13,7,or,left,congruent,mid,mid,right
cp_stroop_crossed,B,13,8,or,right,congruent,mid,low,right
cp_stroop_crossed,B,13,9,or,left,congruent,high,mid,left
cp_stroop_crossed,B,13,10,or,left,congruent,low,high,left
cp_stroop_crossed,B,13,11,or,right,incongruent,mid,high,right
cp_stroop_crossed,B,13,12,or,left,congruent,mid,low,right
cp_stroop_crossed,B,13,13,or,left,congruent,high,mid,left
cp_stroop_crossed,B,13,14,or,left,incongruent,high,high,right
cp_stroop_crossed,B,13,15,or,right,incongruent,high,low,left
cp_stroop_crossed,B,13,16,or,right,congruent,high,high,right
cp_stroop_crossed,B,13,17,or,right,congruent,low,mid,left
cp_stroop_crossed,B,13,18,or,left,congruent,mid,high,right
cp_stroop_crossed,B,13,19,or,right,congruent,mid,mid,left
cp_stroop_crossed,B,13,20,or,left,incongruent,high,high,left
cp_stroop_crossed,B,13,21,or,left,congruent,high,high,left
cp_stroop_crossed,B,13,22,or,right,congruent,mid,low,left
cp_stroop_crossed,B,13,23,or,left,congruent,high,low,right
cp_stroop_crossed,B,13,24,or,left,congruent,low,low,left
cp_stroop_crossed,B,13,25,or,right,incongruent,mid,high,right
cp_stroop_crossed,B,13,26,or,left,incongruent,low,low,left
cp_stroop_crossed,B,13,27,or,right,incongruent,mid,mid,left
cp_stroop_crossed,B,13,28,or,left,incongruent,high,low,left
cp_stroop_crossed,B,13,29,or,right,incongruent,mid,low,right
cp_stroop_crossed,B,13,30,or,right,incongruent,low,mid,right
cp_stroop_crossed,B,13,31,or,left,congruent,high,low,right
cp_stroop_crossed,B,13,32,or,right,incongruent,low,mid,left
cp_stroop_crossed,B,13,33,or,left,incongruent,mid,high,left
cp_stroop_crossed,B,13,34,or,left,congruent,low,high,right
cp_stroop_crossed,B,13,35,or,left,incongruent,high,low,right
cp_stroop_crossed,B,13,36,or,right,incongruent,high,mid,left
cp_stroop_crossed,B,13,37,or,right,congruent,low,mid,left
cp_stroop_crossed,B,13,38,or,left,congruent,mid,low,left
cp_stroop_crossed,B,13,39,or,right,incongruent,low,high,left
cp_stroop_crossed,B,13,40,or,right,congruent,low,high,left
cp_stroop_crossed,B,13,41,or,right,congruent,mid,high,left
cp_stroop_crossed,B,13,42,or,left,congruent,high,high,right
cp_stroop_crossed,B,13,43,or,right,incongruent,high,mid,right
cp_stroop_crossed,B,13,44,or,right,congruent,low,mid,right
cp_stroop_crossed,B,13,45,or,left,incongruent,low,high,left
cp_stroop_crossed,B,13,46,or,left,incongruent,mid,low,right
cp_stroop_crossed,B,13,47,or,right,congruent,high,low,left
cp_stroop_crossed,B,13,48,or,left,incongruent,low,mid,left
cp_stroop_crossed,B,13,49,or,left,congruent,low,mid,right
cp_stroop_crossed,B,13,50,or,right,incongruent,mid,low,left
cp_stroop_crossed,B,13,51,or,left,incongruent,high,high,left
cp_stroop_crossed,B,13,52,or,left,incongruent,low,high,right
cp_stroop_crossed,B,13,53,or,right,congruent,high,high,right
cp_stroop_crossed,B,13,54,or,left,incongruent,high,mid,left
cp_stroop_crossed,B,13,55,or,right,incongruent,low,high,left
cp_stroop_crossed,B,13,56,or,left,congruent,high,mid,right
