block_id,condition,sequence_id,trial_index,task,hand,task_transition,hand_transition,response_transition,congruency,target_coh_level,target_dir
cp_taskswitch,B,9,0,mov,left,First,First,First,congruent,hard,right
cp_taskswitch,B,9,1,mov,right,Repeat,Switch,Switch,congruent,easy,left
cp_taskswitch,B,9,2,mov,left,Repeat,Switch,Switch,incongruent,easy,right
cp_taskswitch,B,9,3,or,left,Switch,Repeat,Repeat,congruent,hard,right
cp_taskswitch,B,9,4,mov,right,Switch,Switch,Switch,incongruent,easy,left
cp_taskswitch,B,9,5,or,left,Switch,Switch,Repeat,congruent,easy,left
cp_taskswitch,B,9,6,mov,left,Switch,Repeat,Switch,incongruent,hard,right
cp_taskswitch,B,9,7,or,left,Switch,Repeat,Repeat,incongruent,hard,right
cp_taskswitch,B,9,8,or,right,Repeat,Switch,Repeat,incongruent,easy,right
cp_taskswitch,B,9,9,or,right,Repeat,Repeat,Switch,incongruent,hard,left
cp_taskswitch,B,9,10,mov,left,Switch,Switch,Switch,incongruent,hard,right
cp_taskswitch,B,9,11,mov,right,Repeat,Switch,Repeat,congruent,easy,right
cp_taskswitch,B,9,12,mov,right,Repeat,Repeat,Switch,congruent,hard,left
cp_taskswitch,B,9,13,or,left,Switch,Switch,Repeat,incongruent,easy,left
cp_taskswitch,B,9,14,mov,right,Switch,Switch,Repeat,incongruent,easy,left
cp_taskswitch,B,9,15,or,right,Switch,Repeat,Repeat,incongruent,hard,left
cp_taskswitch,B,9,16,or,left,Repeat,Switch,Switch,congruent,hard,right
cp_taskswitch,B,9,17,mov,left,Switch,Repeat,Repeat,congruent,easy,right
cp_taskswitch,B,9,18,or,right,Switch,Switch,Switch,incongruent,hard,left
cp_taskswitch,B,9,19,or,right,Repeat,Repeat,Switch,congruent,easy,right
cp_taskswitch,B,9,20,or,right,Repeat,Repeat,Repeat,incongruent,easy,right
cp_taskswitch,B,9,21,mov,left,Switch,Switch,Repeat,congruent,easy,right
cp_taskswitch,B,9,22,mov,left,Repeat,Repeat,Switch,incongruent,easy,left
cp_taskswitch,B,9,23,or,right,Switch,Switch,Switch,congruent,easy,right
cp_taskswitch,B,9,24,or,right,Repeat,Repeat,Repeat,congruent,easy,right
cp_taskswitch,B,9,25,mov,right,Switch,Repeat,Repeat,congruent,hard,right
cp_taskswitch,B,9,26,mov,left,Repeat,Switch,Repeat,congruent,hard,right
