block_id,condition,sequence_id,trial_index,task,hand,task_transition,hand_transition,response_transition,congruency,target_coh_level,target_dir
cp_taskswitch_asym,A,15,0,mov,right,First,First,First,incongruent,easy,left
cp_taskswitch_asym,A,15,1,or,right,Switch,Repeat,Repeat,incongruent,hard,left
cp_taskswitch_asym,A,15,2,mov,right,Switch,Repeat,Repeat,incongruent,easy,left
cp_taskswitch_asym,A,15,3,or,left,Switch,Switch,Switch,incongruent,hard,right
cp_taskswitch_asym,A,15,4,or,left,Repeat,Repeat,Repeat,incongruent,hard,right
cp_taskswitch_asym,A,15,5,or,left,Repeat,Repeat,Switch,congruent,hard,left
cp_taskswitch_asym,A,15,6,mov,right,Switch,Switch,Repeat,incongruent,easy,left
cp_taskswitch_asym,A,15,7,mov,right,Repeat,Repeat,Repeat,congruent,easy,left
cp_taskswitch_asym,A,15,8,or,right,Switch,Repeat,Repeat,congruent,hard,left
cp_taskswitch_asym,A,15,9,or,left,Repeat,Switch,Repeat,incongruent,hard,left
cp_taskswitch_asym,A,15,10,or,left,Repeat,Repeat,Switch,congruent,hard,right
cp_taskswitch_asym,A,15,11,mov,left,Switch,Repeat,Switch,incongruent,easy,left
cp_taskswitch_asym,A,15,12,mov,right,Repeat,Switch,Switch,incongruent,easy,right
cp_taskswitch_asym,A,15,13,mov,left,Repeat,Switch,Repeat,congruent,easy,right
cp_taskswitch_asym,A,15,14,or,left,Switch,Repeat,Repeat,congruent,hard,right
cp_taskswitch_asym,A,15,15,or,left,Repeat,Repeat,Repeat,congruent,hard,right
cp_taskswitch_asym,A,15,16,or,right,Repeat,Switch,Switch,incongruent,hard,left
cp_taskswitch_asym,A,15,17,mov,right,Switch,Repeat,Repeat,incongruent,easy,left
cp_taskswitch_asym,A,15,18,or,left,Switch,Switch,Repeat,incongruent,hard,left
cp_taskswitch_asym,A,15,19,mov,left,Switch,Repeat,Repeat,congruent,easy,left
cp_taskswitch_asym,A,15,20,mov,left,Repeat,Repeat,Switch,incongruent,easy,right
cp_taskswitch_asym,A,15,21,mov,right,Repeat,Switch,Switch,incongruent,easy,left
cp_taskswitch_asym,A,15,22,or,left,Switch,Switch,Switch,incongruent,hard,right
cp_taskswitch_asym,A,15,23,or,right,Repeat,Switch,Switch,congruent,hard,left
cp_taskswitch_asym,A,15,24,or,right,Repeat,Repeat,Repeat,congruent,hard,left
cp_taskswitch_asym,A,15,25,mov,left,Switch,Switch,Repeat,congruent,easy,left
cp_taskswitch_asym,A,15,26,or,left,Switch,Repeat,Switch,congruent,hard,right
cp_taskswitch_asym,A,15,27,or,left,Repeat,Repeat,Switch,incongruent,hard,left
cp_taskswitch_asym,A,15,28,mov,right,Switch,Switch,Repeat,incongruent,easy,left
cp_taskswitch_asym,A,15,29,mov,right,Repeat,Repeat,Switch,incongruent,easy,right
cp_taskswitch_asym,A,15,30,mov,left,Repeat,Switch,Repeat,congruent,easy,right
cp_taskswitch_asym,A,15,31,or,left,Switch,Repeat,Switch,congruent,hard,left
cp_taskswitch_asym,A,15,32,or,right,Repeat,Switch,Switch,incongruent,hard,right
cp_taskswitch_asym,A,15,33,mov,right,Switch,Repeat,Repeat,incongruent,easy,right
cp_taskswitch_asym,A,15,34,mov,left,Repeat,Switch,Switch,congruent,easy,left
cp_taskswitch_asym,A,15,35,mov,left,Repeat,Repeat,Switch,incongruent,easy,right
cp_taskswitch_asym,A,15,36,or,right,Switch,Switch,Switch,congruent,hard,left
cp_taskswitch_asym,A,15,37,mov,right,Switch,Repeat,Switch,congruent,easy,right
cp_taskswitch_asym,A,15,38,or,left,Switch,Switch,Switch,incongruent,hard,left
cp_taskswitch_asym,A,15,39,mov,right,Switch,Switch,Switch,congruent,easy,right
cp_taskswitch_asym,A,15,40,mov,left,Repeat,Switch,Repeat,congruent,easy,right
cp_taskswitch_asym,A,15,41,or,left,Switch,Repeat,Switch,congruent,hard,left
cp_taskswitch_asym,A,15,42,or,left,Repeat,Repeat,Switch,congruent,hard,right
cp_taskswitch_asym,A,15,43,or,right,Repeat,Switch,Switch,congruent,hard,left
cp_taskswitch_asym,A,15,44,mov,left,Switch,Switch,Repeat,incongruent,easy,left
cp_taskswitch_asym,A,15,45,or,left,Switch,Repeat,Switch,congruent,hard,right
cp_taskswitch_asym,A,15,46,mov,left,Switch,Repeat,Repeat,congruent,easy,right
cp_taskswitch_asym,A,15,47,mov,right,Repeat,Switch,Switch,congruent,easy,left
cp_taskswitch_asym,A,15,48,or,right,Switch,Repeat,Switch,incongruent,hard,right
cp_taskswitch_asym,A,15,49,or,right,Repeat,Repeat,Repeat,incongruent,hard,right
cp_taskswitch_asym,A,15,50,mov,left,Switch,Switch,Switch,incongruent,easy,left
cp_taskswitch_asym,A,15,51,mov,right,Repeat,Switch,Repeat,incongruent,easy,left
cp_taskswitch_asym,A,15,52,or,right,Switch,Repeat,Switch,incongruent,hard,right
cp_taskswitch_asym,A,15,53,or,right,Repeat,Repeat,Repeat,incongruent,hard,right
cp_taskswitch_asym,A,15,54,mov,left,Switch,Switch,Repeat,congruent,easy,right
cp_taskswitch_asym,A,15,55,mov,left,Repeat,Repeat,Switch,incongruent,easy,left
cp_taskswitch_asym,A,15,56,mov,left,Repeat,Repeat,Repeat,congruent,easy,left
cp_taskswitch_asym,A,15,57,or,right,Switch,Switch,Switch,incongruent,hard,right
cp_taskswitch_asym,A,15,58,or,right,Repeat,Repeat,Switch,congruent,hard,left
cp_taskswitch_asym,A,15,59,or,left,Repeat,Switch,Switch,congruent,hard,right
cp_taskswitch_asym,A,15,60,mov,right,Switch,Switch,Repeat,incongruent,easy,right
cp_taskswitch_asym,A,15,61,or,left,Switch,Switch,Repeat,congruent,hard,right
cp_taskswitch_asym,A,15,62,or,right,Repeat,Switch,Repeat,incongruent,hard,right
cp_taskswitch_asym,A,15,63,mov,right,Switch,Repeat,Repeat,incongruent,easy,right
cp_taskswitch_asym,A,15,64,mov,left,Repeat,Switch,Repeat,incongruent,easy,right
cp_taskswitch_asym,A,15,65,or,left,Switch,Repeat,Repeat,incongruent,hard,right
cp_taskswitch_asym,A,15,66,or,left,Repeat,Repeat,Repeat,incongruent,hard,right
cp_taskswitch_asym,A,15,67,mov,right,Switch,Switch,Repeat,congruent,easy,right
cp_taskswitch_asym,A,15,68,or,right,Switch,Repeat,Switch,incongruent,hard,left
cp_taskswitch_asym,A,15,69,or,right,Repeat,Repeat,Switch,congruent,hard,right
cp_taskswitch_asym,A,15,70,mov,left,Switch,Switch,Repeat,congruent,easy,right
cp_taskswitch_asym,A,15,71,mov,right,Repeat,Switch,Switch,congruent,easy,left
cp_taskswitch_asym,A,15,72,or,left,Switch,Switch,Switch,congruent,hard,right
cp_taskswitch_asym,A,15,73,or,right,Repeat,Switch,Repeat,incongruent,hard,right
cp_taskswitch_asym,A,15,74,mov,left,Switch,Switch,Switch,congruent,easy,left
cp_taskswitch_asym,A,15,75,or,left,Switch,Repeat,Switch,incongruent,hard,right
cp_taskswitch_asym,A,15,76,or,right,Repeat,Switch,Switch,incongruent,hard,left
cp_taskswitch_asym,A,15,77,mov,right,Switch,Repeat,Repeat,congruent,easy,left
cp_taskswitch_asym,A,15,78,mov,left,Repeat,Switch,Repeat,incongruent,easy,left
cp_taskswitch_asym,A,15,79,mov,left,Repeat,Repeat,Repeat,congruent,easy,left
cp_taskswitch_asym,A,15,80,or,right,Switch,Switch,Switch,congruent,hard,right
cp_taskswitch_asym,A,15,81,mov,right,Switch,Repeat,Switch,congruent,easy,left
cp_taskswitch_asym,A,15,82,mov,left,Repeat,Switch,Switch,incongruent,easy,right
cp_taskswitch_asym,A,15,83,mov,right,Repeat,Switch,Repeat,congruent,easy,right
cp_taskswitch_asym,A,15,84,or,right,Switch,Repeat,Switch,incongruent,hard,left
cp_taskswitch_asym,A,15,85,mov,left,Switch,Switch,Repeat,congruent,easy,left
cp_taskswitch_asym,A,15,86,or,right,Switch,Switch,Switch,incongruent,hard,right
cp_taskswitch_asym,A,15,87,or,right,Repeat,Repeat,Switch,incongruent,hard,left
cp_taskswitch_asym,A,15,88,or,left,Repeat,Switch,Repeat,congruent,hard,left
cp_taskswitch_asym,A,15,89,mov,left,Switch,Repeat,Repeat,congruent,easy,left
cp_taskswitch_asym,A,15,90,mov,left,Repeat,Repeat,Switch,congruent,easy,right
cp_taskswitch_asym,A,15,91,or,right,Switch,Switch,Switch,congruent,hard,left
cp_taskswitch_asym,A,15,92,or,left,Repeat,Switch,Repeat,congruent,hard,left
cp_taskswitch_asym,A,15,93,mov,right,Switch,Switch,Repeat,incongruent,easy,left
cp_taskswitch_asym,A,15,94,mov,right,Repeat,Repeat,Repeat,incongruent,easy,left
cp_taskswitch_asym,A,15,95,mov,right,Repeat,Repeat,Repeat,congruent,easy,left
