block_id,condition,sequence_id,trial_index,task,hand,task_transition,hand_transition,response_transition,congruency,target_coh_level,target_dir
cp_taskswitch_asym,B,26,0,or,right,First,First,First,incongruent,easy,left
cp_taskswitch_asym,B,26,1,mov,right,Switch,Repeat,Switch,congruent,hard,right
cp_taskswitch_asym,B,26,2,or,left,Switch,Switch,Repeat,congruent,easy,right
cp_taskswitch_asym,B,26,3,mov,left,Switch,Repeat,Switch,congruent,hard,left
cp_taskswitch_asym,B,26,4,or,left,Switch,Repeat,Repeat,incongruent,easy,left
cp_taskswitch_asym,B,26,5,or,right,Repeat,Switch,Repeat,incongruent,easy,left
cp_taskswitch_asym,B,26,6,mov,right,Switch,Repeat,Repeat,incongruent,hard,left
cp_taskswitch_asym,B,26,7,mov,right,Repeat,Repeat,Repeat,incongruent,hard,left
cp_taskswitch_asym,B,26,8,or,left,Switch,Switch,Switch,incongruent,easy,right
cp_taskswitch_asym,B,26,9,mov,left,Switch,Repeat,Repeat,congruent,hard,right
cp_taskswitch_asym,B,26,10,or,right,Switch,Switch,Switch,congruent,easy,left
cp_taskswitch_asym,B,26,11,or,right,Repeat,Repeat,Switch,incongruent,easy,right
cp_taskswitch_asym,B,26,12,mov,left,Switch,Switch,Switch,congruent,hard,left
cp_taskswitch_asym,B,26,13,mov,left,Repeat,Repeat,Repeat,incongruent,hard,left
cp_taskswitch_asym,B,26,14,mov,left,Repeat,Repeat,Repeat,congruent,hard,left
cp_taskswitch_asym,B,26,15,or,right,Switch,Switch,Repeat,congruent,easy,left
cp_taskswitch_asym,B,26,16,mov,right,Switch,Repeat,Switch,incongruent,hard,right
cp_taskswitch_asym,B,26,17,mov,right,Repeat,Repeat,Repeat,congruent,hard,right
cp_taskswitch_asym,B,26,18,or,left,Switch,Switch,Repeat,congruent,easy,right
cp_taskswitch_asym,B,26,19,mov,right,Switch,Switch,Switch,congruent,hard,left
cp_taskswitch_asym,B,26,20,mov,right,Repeat,Repeat,Repeat,congruent,hard,left
cp_taskswitch_asym,B,26,21,mov,left,Repeat,Switch,Repeat,incongruent,hard,left
cp_taskswitch_asym,B,26,22,or,left,Switch,Repeat,Repeat,incongruent,easy,left
cp_taskswitch_asym,B,26,23,or,right,Repeat,Switch,Switch,congruent,easy,right
cp_taskswitch_asym,B,26,24,or,right,Repeat,Repeat,Repeat,incongruent,easy,right
cp_taskswitch_asym,B,26,25,mov,right,Switch,Repeat,Repeat,congruent,hard,right
cp_taskswitch_asym,B,26,26,mov,left,Repeat,Switch,Switch,incongruent,hard,left
cp_taskswitch_asym,B,26,27,or,left,Switch,Repeat,Repeat,congruent,easy,left
cp_taskswitch_asym,B,26,28,or,left,Repeat,Repeat,Switch,congruent,easy,right
cp_taskswitch_asym,B,26,29,or,right,Repeat,Switch,Repeat,congruent,easy,right
cp_taskswitch_asym,B,26,30,mov,right,Switch,Repeat,Repeat,incongruent,hard,right
cp_taskswitch_asym,B,26,31,or,right,Switch,Repeat,Repeat,congruent,easy,right
cp_taskswitch_asym,B,26,32,or,left,Repeat,Switch,Repeat,congruent,easy,right
cp_taskswitch_asym,B,26,33,mov,left,Switch,Repeat,Switch,congruent,hard,left
